Base 2              Base 10             Base 16             
10100101110010      10610               2972                
111110000110111     31799               7C37                
101100101011000     22872               5958                
11110000001110      15374               3C0E                
100100110010000     18832               4990                
11110110010010      15762               3D92                
111101111111001     31737               7BF9                
100101111010000     19408               4BD0                
100111010010000     20112               4E90                
10100101011100      10588               295C                
100011011011001     18137               46D9                
11110111000111      15815               3DC7                
111011001110101     30325               7675                
11000111111110      12798               31FE                
111011101000100     30532               7744                
111010001110001     29809               7471                
11110001110110      15478               3C76                
10011100010001      10001               2711                
100010000100110     17446               4426                
100001000111011     16955               423B                
110011011111001     26361               66F9                
11100010110010      14514               38B2                
101010101110111     21879               5577                
110000100001100     24844               610C                
100111010110011     20147               4EB3                
10110101010001      11601               2D51                
100001011110000     17136               42F0                
100101000010111     18967               4A17                
111000111111101     29181               71FD                
110101001101010     27242               6A6A                
101010000101101     21549               542D                
10100000000011      10243               2803                
100000101100100     16740               4164                
100101111111110     19454               4BFE                
11011010100111      13991               36A7                
111000011001000     28872               70C8                
10110110010011      11667               2D93                
110010010010000     25744               6490                
11100001110011      14451               3873                
11001000010000      12816               3210                
101001000111010     21050               523A                
100111100111010     20282               4F3A                
10101010110010      10930               2AB2                
101000011011011     20699               50DB                
100000111100110     16870               41E6                
110101001000001     27201               6A41                
110111111010101     28629               6FD5                
100010110110001     17841               45B1                
100101111101000     19432               4BE8                
10111010010100      11924               2E94                
101100010101101     22701               58AD                
111110111110000     32240               7DF0                
110100111011011     27099               69DB                
110111111000001     28609               6FC1                
110100111101101     27117               69ED                
100111101000000     20288               4F40                
100111000111111     20031               4E3F                
111110000110010     31794               7C32                
11001111010110      13270               33D6                
10110001101111      11375               2C6F                
11101100101011      15147               3B2B                
11000010110000      12464               30B0                
110101101000110     27462               6B46                
111011100110011     30515               7733                
11001010001010      12938               328A                
110010101110101     25973               6575                
11101111110110      15350               3BF6                
110100000101100     26668               682C                
100011101101100     18284               476C                
101000100011010     20762               511A                
11111111100011      16355               3FE3                
10110110000101      11653               2D85                
101001110101000     21416               53A8                
11011110111011      14267               37BB                
101011011110000     22256               56F0                
101100001011100     22620               585C                
111010110100010     30114               75A2                
101111000010100     24084               5E14                
101110001000000     23616               5C40                
101010110010011     21907               5593                
100000010001011     16523               408B                
110101111001101     27597               6BCD                
11111111101010      16362               3FEA                
111011000111001     30265               7639                
111000101101001     29033               7169                
100011110110101     18357               47B5                
11011011101010      14058               36EA                
11101111101001      15337               3BE9                
11011000110100      13876               3634                
101100001100011     22627               5863                
100111101101101     20333               4F6D                
11010010110100      13492               34B4                
111001100010000     29456               7310                
111011101010010     30546               7752                
111010001010000     29776               7450                
111001111111100     29692               73FC                
10101100011010      11034               2B1A                
101110111110110     24054               5DF6                
10110111011110      11742               2DDE                
10110001001011      11339               2C4B                
100101100000101     19205               4B05                
10100100001110      10510               290E                
11010110000110      13702               3586                
111111111011001     32729               7FD9                
11111001011100      15964               3E5C                
100000001010001     16465               4051                
100110101111000     19832               4D78                
111010010011000     29848               7498                
10100111110010      10738               29F2                
100100110001111     18831               498F                
100111011101101     20205               4EED                
100101000011110     18974               4A1E                
111010100001100     29964               750C                
100011110011110     18334               479E                
100001111011110     17374               43DE                
110000110100010     24994               61A2                
101111000000111     24071               5E07                
110101111010011     27603               6BD3                
11111000000011      15875               3E03                
11110000110111      15415               3C37                
111011101110111     30583               7777                
100101111001110     19406               4BCE                
100010000010011     17427               4413                
101011010111111     22207               56BF                
101111001101101     24173               5E6D                
100001100100100     17188               4324                
101010100111011     21819               553B                
100100111001011     18891               49CB                
101100101000111     22855               5947                
111110010110111     31927               7CB7                
10100111100110      10726               29E6                
111100100010111     30999               7917                
100010100111000     17720               4538                
110101100111000     27448               6B38                
110111001111010     28282               6E7A                
101111111100101     24549               5FE5                
101011011000111     22215               56C7                
110110110000011     28035               6D83                
100001000001110     16910               420E                
110110011101111     27887               6CEF                
11001111001001      13257               33C9                
110100011001100     26828               68CC                
101101001000110     23110               5A46                
111101100110110     31542               7B36                
11100101001000      14664               3948                
11010110110110      13750               35B6                
101010110011000     21912               5598                
111011010110011     30387               76B3                
110100100001000     26888               6908                
111110010010001     31889               7C91                
100111011101111     20207               4EEF                
110010101011011     25947               655B                
111100000100101     30757               7825                
10111010000000      11904               2E80                
111001000000001     29185               7201                
10110101110110      11638               2D76                
100110011010001     19665               4CD1                
101010110100111     21927               55A7                
100110011101001     19689               4CE9                
111110011111011     31995               7CFB                
11100101100111      14695               3967                
101011100010010     22290               5712                
100110110010101     19861               4D95                
100110111010101     19925               4DD5                
100001011100010     17122               42E2                
11001010101001      12969               32A9                
11010100001111      13583               350F                
110100001000011     26691               6843                
10111101111001      12153               2F79                
110101011100011     27363               6AE3                
110100001110100     26740               6874                
110000110110000     25008               61B0                
101110101010000     23888               5D50                
100011000000111     17927               4607                
11011111000110      14278               37C6                
11010111110011      13811               35F3                
100000011011010     16602               40DA                
101000011010110     20694               50D6                
110011000100111     26151               6627                
11101000011011      14875               3A1B                
111001011001101     29389               72CD                
111001101010111     29527               7357                
11100101100010      14690               3962                
111001110011000     29592               7398                
101000000110100     20532               5034                
11000101110100      12660               3174                
10111010100110      11942               2EA6                
101111010010000     24208               5E90                
11010011011011      13531               34DB                
110010110001111     25999               658F                
100000101001100     16716               414C                
10111000101100      11820               2E2C                
101001010011110     21150               529E                
11010000111111      13375               343F                
101110110000100     23940               5D84                
110011001111000     26232               6678                
101000011011011     20699               50DB                
101011100011101     22301               571D                
11011101001111      14159               374F                
10100010111100      10428               28BC                
110010111010011     26067               65D3                
11110011111000      15608               3CF8                
100001010010000     17040               4290                
111001100101001     29481               7329                
111000010101110     28846               70AE                
111011001001000     30280               7648                
101001011000101     21189               52C5                
10101100100111      11047               2B27                
11010010001111      13455               348F                
101101011001101     23245               5ACD                
110011010011011     26267               669B                
11101101010011      15187               3B53                
101101110111001     23481               5BB9                
100100110001011     18827               498B                
111111011110011     32499               7EF3                
111110000011110     31774               7C1E                
111000010001101     28813               708D                
10110010111000      11448               2CB8                
11001100101010      13098               332A                
10110000000101      11269               2C05                
110011000010111     26135               6617                
10100110001101      10637               298D                
111000101000101     28997               7145                
11101010101001      15017               3AA9                
111101000110001     31281               7A31                
101101101110101     23413               5B75                
111011100111001     30521               7739                
111010000100010     29730               7422                
111101111111111     31743               7BFF                
100110010010100     19604               4C94                
111000101101001     29033               7169                
11101111100111      15335               3BE7                
11001101110110      13174               3376                
100000100110011     16691               4133                
101110100010100     23828               5D14                
110100010111011     26811               68BB                
11100000001010      14346               380A                
10101011011011      10971               2ADB                
110010010111101     25789               64BD                
101100111001001     22985               59C9                
110111100010101     28437               6F15                
110111001011100     28252               6E5C                
100100000000101     18437               4805                
101011111110101     22517               57F5                
101110100100000     23840               5D20                
101000110000001     20865               5181                
11110101111000      15736               3D78                
11101100101110      15150               3B2E                
11111101001010      16202               3F4A                
101000101000111     20807               5147                
10110111101011      11755               2DEB                
11101110001011      15243               3B8B                
111111000110101     32309               7E35                
110001100100011     25379               6323                
110100111010111     27095               69D7                
111010011110000     29936               74F0                
10110001110110      11382               2C76                
110001000001101     25101               620D                
101111101001111     24399               5F4F                
10011111111001      10233               27F9                
111100000111001     30777               7839                
11100011101011      14571               38EB                
10110110101101      11693               2DAD                
11000110010000      12688               3190                
11010111000010      13762               35C2                
111110000011001     31769               7C19                
11100111100101      14821               39E5                
110001010110100     25268               62B4                
10111101101001      12137               2F69                
101000110111001     20921               51B9                
10011100101001      10025               2729                
110011111011101     26589               67DD                
100000001001000     16456               4048                
100110101010100     19796               4D54                
101010001100011     21603               5463                
110110110011110     28062               6D9E                
101011101100100     22372               5764                
10101110110001      11185               2BB1                
100111101110101     20341               4F75                
111011111011001     30681               77D9                
10110101010010      11602               2D52                
111011100101110     30510               772E                
111111100100011     32547               7F23                
10100000001011      10251               280B                
111001111010110     29654               73D6                
111000000010011     28691               7013                
110100111100010     27106               69E2                
101011010001111     22159               568F                
100100101111111     18815               497F                
11011001010000      13904               3650                
11001101001010      13130               334A                
11110111101101      15853               3DED                
101001001100100     21092               5264                
100001000000001     16897               4201                
111001100010101     29461               7315                
100101101011110     19294               4B5E                
101100000110111     22583               5837                
100000001010000     16464               4050                
110010110110100     26036               65B4                
10100001110101      10357               2875                
111100111100001     31201               79E1                
111010100011100     29980               751C                
101111001010001     24145               5E51                
101010001011001     21593               5459                
101101111000101     23493               5BC5                
110101101100011     27491               6B63                
111110011000101     31941               7CC5                
101100111101010     23018               59EA                
10101011101000      10984               2AE8                
10101001110000      10864               2A70                
10101110110001      11185               2BB1                
11110010000010      15490               3C82                
101001010011101     21149               529D                
111011001111001     30329               7679                
111110001000000     31808               7C40                
11111001001011      15947               3E4B                
11110110010110      15766               3D96                
110000000000000     24576               6000                
101011101011010     22362               575A                
110001111100010     25570               63E2                
100110110100010     19874               4DA2                
111100001100100     30820               7864                
110100110100011     27043               69A3                
110011100100010     26402               6722                
111000001001001     28745               7049                
11010011000011      13507               34C3                
11001100000011      13059               3303                
111001000001011     29195               720B                
10110101101000      11624               2D68                
100010000111010     17466               443A                
110001001101000     25192               6268                
11001100111010      13114               333A                
10111110111100      12220               2FBC                
111100000101111     30767               782F                
110101010111111     27327               6ABF                
111011100100010     30498               7722                
110101001011000     27224               6A58                
11000101101100      12652               316C                
101100101001100     22860               594C                
101001101100010     21346               5362                
110100111101110     27118               69EE                
100011100100100     18212               4724                
101001111000001     21441               53C1                
101000000110111     20535               5037                
110111000110110     28214               6E36                
10011100110100      10036               2734                
10110010001101      11405               2C8D                
111001000100001     29217               7221                
10101100000101      11013               2B05                
100001010001101     17037               428D                
111000100011110     28958               711E                
110111101100110     28518               6F66                
110011100010100     26388               6714                
110010010110011     25779               64B3                
110111000000011     28163               6E03                
101010010111100     21692               54BC                
10110011100101      11493               2CE5                
11011100010000      14096               3710                
111010001110000     29808               7470                
11010101100010      13666               3562                
101001010110100     21172               52B4                
11001101101100      13164               336C                
110001111000100     25540               63C4                
100101001100100     19044               4A64                
111111011011110     32478               7EDE                
11111000011101      15901               3E1D                
101111011011110     24286               5EDE                
111011000111101     30269               763D                
110110110111110     28094               6DBE                
110110000001011     27659               6C0B                
11001111110111      13303               33F7                
11011110100011      14243               37A3                
100001011111001     17145               42F9                
111101100110101     31541               7B35                
11111001101100      15980               3E6C                
110111100111011     28475               6F3B                
11111100100110      16166               3F26                
110110000111010     27706               6C3A                
100100100110011     18739               4933                
101111001110111     24183               5E77                
11001011000001      12993               32C1                
10011101011010      10074               275A                
100010000110010     17458               4432                
100101110011010     19354               4B9A                
110101100011001     27417               6B19                
100001001110110     17014               4276                
101110111110000     24048               5DF0                
110100110111110     27070               69BE                
100011011110000     18160               46F0                
110111011000110     28358               6EC6                
10100010111101      10429               28BD                
10111111111010      12282               2FFA                
101101010101100     23212               5AAC                
110101101011010     27482               6B5A                
100010010011010     17562               449A                
11010101010011      13651               3553                
111111110001111     32655               7F8F                
101101111101110     23534               5BEE                
100110100010111     19735               4D17                
101000010100000     20640               50A0                
110011110110100     26548               67B4                
10101100110101      11061               2B35                
101011011000100     22212               56C4                
11110100110111      15671               3D37                
100100001001100     18508               484C                
110011100011000     26392               6718                
110110101000101     27973               6D45                
101010111010001     21969               55D1                
11011001010100      13908               3654                
110101110111001     27577               6BB9                
10011110100010      10146               27A2                
101000000010010     20498               5012                
100101101101000     19304               4B68                
111011011111010     30458               76FA                
110100001100101     26725               6865                
111110011011000     31960               7CD8                
10111011110111      12023               2EF7                
101100011100010     22754               58E2                
101011011110010     22258               56F2                
101011101001011     22347               574B                
111001001010110     29270               7256                
100111111100100     20452               4FE4                
101011011100101     22245               56E5                
100101010001100     19084               4A8C                
11000011010010      12498               30D2                
11111010101010      16042               3EAA                
11100010101111      14511               38AF                
110110101000100     27972               6D44                
101010011100101     21733               54E5                
101101111011110     23518               5BDE                
100011111010011     18387               47D3                
101111000101111     24111               5E2F                
101100111110110     23030               59F6                
11101110001000      15240               3B88                
101100111010100     22996               59D4                
100000110111001     16825               41B9                
101101001001000     23112               5A48                
101110100100100     23844               5D24                
101011100010101     22293               5715                
111001000010111     29207               7217                
110101110110111     27575               6BB7                
101011010101101     22189               56AD                
10100000010010      10258               2812                
11101011001010      15050               3ACA                
110101110011010     27546               6B9A                
11011001000000      13888               3640                
110101010111100     27324               6ABC                
111110010110001     31921               7CB1                
11100111010001      14801               39D1                
11110101010010      15698               3D52                
111011010010001     30353               7691                
10011101110110      10102               2776                
110001100000011     25347               6303                
101100100110111     22839               5937                
100100100111001     18745               4939                
110110111010010     28114               6DD2                
111001010000011     29315               7283                
110001110111101     25533               63BD                
111001111000101     29637               73C5                
110000010101000     24744               60A8                
111101011100111     31463               7AE7                
111101000000110     31238               7A06                
110000101111100     24956               617C                
100010011110000     17648               44F0                
100011001000010     17986               4642                
101111011010011     24275               5ED3                
10111000111000      11832               2E38                
111101110110101     31669               7BB5                
101100101010011     22867               5953                
101011010111110     22206               56BE                
111110101101111     32111               7D6F                
10011101100000      10080               2760                
100010101101100     17772               456C                
101111000010010     24082               5E12                
101000111010000     20944               51D0                
110101101100110     27494               6B66                
11000100000110      12550               3106                
111111110011101     32669               7F9D                
11000100100111      12583               3127                
111011010010000     30352               7690                
110000011101101     24813               60ED                
11011011111101      14077               36FD                
10100001110101      10357               2875                
11110101000010      15682               3D42                
111111010111111     32447               7EBF                
101011110101110     22446               57AE                
101010011010100     21716               54D4                
10100110010110      10646               2996                
101100101100100     22884               5964                
10110100111010      11578               2D3A                
111011111000010     30658               77C2                
10111111001110      12238               2FCE                
110001011001011     25291               62CB                
100000010100010     16546               40A2                
101001110001100     21388               538C                
101110011001000     23752               5CC8                
10111001010011      11859               2E53                
101011011101000     22248               56E8                
111011011011101     30429               76DD                
110111111010111     28631               6FD7                
111111010111100     32444               7EBC                
100110101001101     19789               4D4D                
101011100011011     22299               571B                
11110010111101      15549               3CBD                
11010001011001      13401               3459                
101100111110011     23027               59F3                
101001100111001     21305               5339                
111110011001101     31949               7CCD                
100010000101001     17449               4429                
101011111100100     22500               57E4                
101001101110111     21367               5377                
11110011110011      15603               3CF3                
111100110001110     31118               798E                
11010000101100      13356               342C                
11110000000101      15365               3C05                
100100111010011     18899               49D3                
111100101110111     31095               7977                
111000100100110     28966               7126                
111010111100101     30181               75E5                
111000101011111     29023               715F                
10100111100100      10724               29E4                
101000110000011     20867               5183                
111100001101001     30825               7869                
101001111110101     21493               53F5                
10111110101010      12202               2FAA                
100010010111010     17594               44BA                
11000001101101      12397               306D                
100101110111100     19388               4BBC                
110110011010110     27862               6CD6                
11111010000110      16006               3E86                
111001011110101     29429               72F5                
101010010101000     21672               54A8                
101000111111001     20985               51F9                
11101000110111      14903               3A37                
110010110101101     26029               65AD                
110111001101110     28270               6E6E                
101000001110111     20599               5077                
111101101001101     31565               7B4D                
11001110010111      13207               3397                
110001011010111     25303               62D7                
100001010110011     17075               42B3                
10011110101000      10152               27A8                
101111010101110     24238               5EAE                
101010000110101     21557               5435                
101100011111100     22780               58FC                
111110000010101     31765               7C15                
111010111011000     30168               75D8                
101011100111100     22332               573C                
110000000000101     24581               6005                
111001010001111     29327               728F                
100111110101001     20393               4FA9                
111110000001001     31753               7C09                
10100001110011      10355               2873                
111110000101101     31789               7C2D                
101000010001110     20622               508E                
11101110001100      15244               3B8C                
101110110000111     23943               5D87                
110100101111000     27000               6978                
110001101110111     25463               6377                
110100110110001     27057               69B1                
101000110101010     20906               51AA                
11000001101110      12398               306E                
110110001111111     27775               6C7F                
110000010110101     24757               60B5                
110010101001010     25930               654A                
110111111010010     28626               6FD2                
111100011011011     30939               78DB                
111100010110101     30901               78B5                
101100011001111     22735               58CF                
100000100111101     16701               413D                
101001100100110     21286               5326                
110101001001010     27210               6A4A                
111110000110010     31794               7C32                
101011101111001     22393               5779                
11100010111111      14527               38BF                
11010111100111      13799               35E7                
10110101101000      11624               2D68                
100101100100100     19236               4B24                
100000110011000     16792               4198                
110111110001111     28559               6F8F                
11111101000011      16195               3F43                
10100011010110      10454               28D6                
11011100111111      14143               373F                
11001001001011      12875               324B                
100000010010001     16529               4091                
101100011001101     22733               58CD                
11001111110011      13299               33F3                
101111111010001     24529               5FD1                
101110110011100     23964               5D9C                
11100100011001      14617               3919                
100110100110110     19766               4D36                
101110010101101     23725               5CAD                
11011101111001      14201               3779                
100011101100000     18272               4760                
101010010001011     21643               548B                
111000110011000     29080               7198                
100000000100100     16420               4024                
11010110100101      13733               35A5                
110000001011011     24667               605B                
111000011000100     28868               70C4                
110010101011001     25945               6559                
11010110101111      13743               35AF                
110000001000010     24642               6042                
10111000001111      11791               2E0F                
11010101100110      13670               3566                
100010100011011     17691               451B                
111100101111001     31097               7979                
110011001100010     26210               6662                
111110111111000     32248               7DF8                
100000101111110     16766               417E                
110111010101011     28331               6EAB                
100001111110001     17393               43F1                
111110011111100     31996               7CFC                
110101110111001     27577               6BB9                
10100011010011      10451               28D3                
10111010111111      11967               2EBF                
101110111000001     24001               5DC1                
100010011010111     17623               44D7                
101011001011101     22109               565D                
10111100110110      12086               2F36                
101001011111110     21246               52FE                
100100010100100     18596               48A4                
101100100000010     22786               5902                
111110010010100     31892               7C94                
111100011101111     30959               78EF                
100010100101100     17708               452C                
111010100010111     29975               7517                
110010011101101     25837               64ED                
111010011000111     29895               74C7                
11011011110100      14068               36F4                
100010011010010     17618               44D2                
110101111001011     27595               6BCB                
11010100011111      13599               351F                
11000010101110      12462               30AE                
110001000110111     25143               6237                
101001111011011     21467               53DB                
110111110111100     28604               6FBC                
101100100011111     22815               591F                
101010011110010     21746               54F2                
101111100110111     24375               5F37                
110111000010010     28178               6E12                
100110101101100     19820               4D6C                
110100010111001     26809               68B9                
11011101100100      14180               3764                
111010000101011     29739               742B                
101011001000111     22087               5647                
111100110000010     31106               7982                
101101000011110     23070               5A1E                
110101110000010     27522               6B82                
100010011001110     17614               44CE                
11100110110000      14768               39B0                
111101111100111     31719               7BE7                
110000011000011     24771               60C3                
111101101000101     31557               7B45                
100000001010110     16470               4056                
110111101101101     28525               6F6D                
110010111101100     26092               65EC                
100010010010011     17555               4493                
110011001000100     26180               6644                
111000100111111     28991               713F                
11000110111001      12729               31B9                
110110100100111     27943               6D27                
100111011100111     20199               4EE7                
111111011111100     32508               7EFC                
11100100001001      14601               3909                
110001100110110     25398               6336                
110000001010000     24656               6050                
111011010010110     30358               7696                
110111111110011     28659               6FF3                
100101000111000     19000               4A38                
110001011110111     25335               62F7                
100101111010001     19409               4BD1                
10101111101001      11241               2BE9                
101110100110111     23863               5D37                
100110101001010     19786               4D4A                
101001111111100     21500               53FC                
11000110101100      12716               31AC                
110011101001101     26445               674D                
111001110011101     29597               739D                
100010000110010     17458               4432                
101010101010110     21846               5556                
101110100110111     23863               5D37                
110101010011110     27294               6A9E                
101101101100111     23399               5B67                
101000100010100     20756               5114                
101101100110111     23351               5B37                
110111010001010     28298               6E8A                
11010000101100      13356               342C                
101100100011011     22811               591B                
110000001010011     24659               6053                
111001000010010     29202               7212                
111010000101001     29737               7429                
110001000101010     25130               622A                
111100010110100     30900               78B4                
100111001001110     20046               4E4E                
110011010011001     26265               6699                
11000000011111      12319               301F                
100110001100101     19557               4C65                
110000111011010     25050               61DA                
11000100101001      12585               3129                
10110010101011      11435               2CAB                
10100000001000      10248               2808                
11000010001110      12430               308E                
101011110011101     22429               579D                
11111010100010      16034               3EA2                
101111100100110     24358               5F26                
11100111100101      14821               39E5                
100101011011011     19163               4ADB                
111010000110110     29750               7436                
110101110111011     27579               6BBB                
110110000111111     27711               6C3F                
10111010100011      11939               2EA3                
101111110101101     24493               5FAD                
11100110100110      14758               39A6                
110101100001101     27405               6B0D                
100011011110010     18162               46F2                
100011100000110     18182               4706                
111110110000010     32130               7D82                
100010000101010     17450               442A                
111101110100101     31653               7BA5                
101010000111000     21560               5438                
101101000111111     23103               5A3F                
11000010100001      12449               30A1                
100101101000111     19271               4B47                
11010010011110      13470               349E                
101001100000010     21250               5302                
110101110101110     27566               6BAE                
11011111010001      14289               37D1                
11001001011010      12890               325A                
111011000100101     30245               7625                
110111000011110     28190               6E1E                
10100101001001      10569               2949                
100111001100001     20065               4E61                
101101100100001     23329               5B21                
101010110000101     21893               5585                
101010100011001     21785               5519                
111101110000010     31618               7B82                
100000110000010     16770               4182                
100110000010010     19474               4C12                
111111100000100     32516               7F04                
11110111010111      15831               3DD7                
11000001111110      12414               307E                
101111110010110     24470               5F96                
101101100011010     23322               5B1A                
111011000000111     30215               7607                
11011110010000      14224               3790                
110111010111111     28351               6EBF                
101111011010111     24279               5ED7                
110010110110000     26032               65B0                
110110001100001     27745               6C61                
10110010001110      11406               2C8E                
11101000000000      14848               3A00                
101100100000001     22785               5901                
100110100010110     19734               4D16                
100010011011111     17631               44DF                
10110100100011      11555               2D23                
11101101010110      15190               3B56                
100111001100110     20070               4E66                
111011010111100     30396               76BC                
110000011000110     24774               60C6                
101011110110011     22451               57B3                
101111110010100     24468               5F94                
11001101111011      13179               337B                
101001011001100     21196               52CC                
111001011000100     29380               72C4                
100000101000101     16709               4145                
101111011011111     24287               5EDF                
110111110110010     28594               6FB2                
101111011011110     24286               5EDE                
100101110000011     19331               4B83                
100100001101001     18537               4869                
100100010101101     18605               48AD                
100110101001001     19785               4D49                
11010001100101      13413               3465                
100100111010001     18897               49D1                
101100101100001     22881               5961                
10101011110111      10999               2AF7                
101101101111000     23416               5B78                
101000010001000     20616               5088                
110101001110111     27255               6A77                
111011100111001     30521               7739                
110001111101111     25583               63EF                
11101000011111      14879               3A1F                
111100011111111     30975               78FF                
110100100110001     26929               6931                
101001110010111     21399               5397                
100011011101101     18157               46ED                
101000001001000     20552               5048                
101011010110111     22199               56B7                
110010001000110     25670               6446                
11111100101111      16175               3F2F                
100010011001010     17610               44CA                
101111100110011     24371               5F33                
11100110101111      14767               39AF                
110101100011010     27418               6B1A                
100100010011101     18589               489D                
11011110000101      14213               3785                
100001100000111     17159               4307                
11001010001111      12943               328F                
111100111100110     31206               79E6                
110111111011010     28634               6FDA                
110101101110001     27505               6B71                
100110001110010     19570               4C72                
110001111000110     25542               63C6                
101011001110101     22133               5675                
100010001011100     17500               445C                
10011100011101      10013               271D                
110101100100001     27425               6B21                
111010011001010     29898               74CA                
101000011110010     20722               50F2                
100010000101101     17453               442D                
11000100110010      12594               3132                
