Base 2              Base 10             Base 16
100100110010000     65534               51515141            
11110110010010      32766               7515141             
111101111111001     31737               711519              
100101111010000     65534               51515141            
100111010010000     20112               4E90                
10100101011100      10588               295C                
100011011011001     18137               46319               
11110111000111      15815               331217              
111011001110101     30325               7675                
11000111111110      12798               31FE                
111011101000100     30532               7744                
111010001110001     29809               7471                
11110001110110      32766               7515141             
10011100010001      10001               2711                
100010000100110     65534               51515141            
100001000111011     16955               42311               
110011011111001     65534               51515141            
11100010110010      32766               7515141             
101010101110111     21879               5577                
110000100001100     24844               61121               
100111010110011     20147               4EB3                
10110101010001      11601               23151               
100001011110000     65534               51515141            
100101000010111     65534               51515141            
111000111111101     29181               715131              
110101001101010     27242               661661              
101010000101101     21549               54231               
10100000000011      10243               2883                
100000101100100     16740               4164                
100101111111110     65534               51515141            
11011010100111      13991               36617               
111000011001000     65534               51515141            
10110110010011      32766               7515141             
110010010010000     25744               6490                
11100001110011      14451               3873                
11001000010000      32766               7515141             
101001000111010     65534               51515141            
100111100111010     20282               4F3A                
10101010110010      10930               221112              
101000011011011     20699               50DB                
100000111100110     65534               51515141            
110101001000001     65534               51515141            
110111111010101     65534               51515141            
100010110110001     17841               45B1                
100101111101000     19432               411418              
10111010010100      32766               7515141             
101100010101101     22701               588131              
111110111110000     65534               51515141            
110100111011011     65534               51515141            
110111111000001     28609               651211              
110100111101101     27117               69ED                
100111101000000     20288               4F40                
100111000111111     20031               4E3F                
111110000110010     65534               51515141            
11001111010110      13270               33D6                
10110001101111      11375               2C6F                
11101100101011      15147               3B2B                
11000010110000      32766               7515141             
110101101000110     27462               61146               
111011100110011     65534               51515141            
11001010001010      12938               328A                
110010101110101     25973               6575                
11101111110110      15350               311516              
110100000101100     26668               682C                
100011101101100     18284               476C                
101000100011010     20762               51111               
11111111100011      16355               3FE3                
10110110000101      32766               7515141             
101001110101000     65534               51515141            
11011110111011      14267               371111              
101011011110000     22256               56F0                
101100001011100     22620               58521               
111010110100010     30114               75A2                
101111000010100     24084               54114               
101110001000000     65534               51515141            
101010110010011     65534               51515141            
100000010001011     65534               51515141            
110101111001101     65534               51515141            
11111111101010      16362               3FEA                
111011000111001     30265               7639                
111000101101001     29033               7169                
100011110110101     18357               47115               
11011011101010      14058               364111              
11101111101001      15337               3BE9                
11011000110100      13876               3634                
101100001100011     22627               5863                
100111101101101     20333               4F6D                
11010010110100      13492               34B4                
111001100010000     29456               7311                
111011101010010     30546               7752                
111010001010000     29776               7455                
111001111111100     29692               73FC                
10101100011010      32766               7515141             
101110111110110     24054               531516              
10110111011110      32766               7515141             
10110001001011      32766               7515141             
100101100000101     19205               4B05                
10100100001110      32766               7515141             
11010110000110      13702               3586                
111111111011001     32729               7FD9                
11111001011100      15964               341521              
100000001010001     16465               4451                
100110101111000     19832               4D78                
111010010011000     29848               7498                
10100111110010      32766               7515141             
100100110001111     18831               49851               
100111011101101     65534               51515141            
100101000011110     65534               51515141            
111010100001100     65534               51515141            
100011110011110     18334               47941               
100001111011110     17374               433141              
110000110100010     65534               51515141            
101111000000111     24071               5E07                
110101111010011     27603               6BD3                
11111000000011      15875               3E03                
11110000110111      32766               7515141             
111011101110111     65534               51515141            
100101111001110     65534               51515141            
100010000010011     17427               4413                
101011010111111     22207               561151              
101111001101101     24173               5E6D                
100001100100100     65534               51515141            
101010100111011     21819               55311               
100100111001011     65534               51515141            
101100101000111     22855               5947                
111110010110111     31927               721117              
10100111100110      10726               29E6                
111100100010111     65534               51515141            
100010100111000     17720               4538                
110101100111000     27448               6B38                
110111001111010     28282               6E7A                
101111111100101     65534               51515141            
101011011000111     22215               56C7                
110110110000011     65534               51515141            
100001000001110     16910               420E                
110110011101111     27887               6CEF                
11001111001001      13257               33C9                
110100011001100     26828               68CC                
101101001000110     23110               5A46                
111101100110110     31542               71136               
11100101001000      32766               7515141             
11010110110110      13750               35B6                
101010110011000     21912               5598                
111011010110011     30387               76113               
110100100001000     65534               51515141            
111110010010001     31889               72191               
100111011101111     20207               4EEF                
110010101011011     25947               65511               
111100000100101     65534               51515141            
10111010000000      32766               7515141             
111001000000001     29185               7221                
10110101110110      11638               23176               
100110011010001     19665               4CD1                
101010110100111     21927               55A7                
100110011101001     19689               4CE9                
111110011111011     65534               51515141            
11100101100111      14695               3967                
101011100010010     65534               51515141            
100110110010101     19861               43195               
100110111010101     65534               51515141            
100001011100010     65534               51515141            
11001010101001      12969               32219               
11010100001111      13583               35551               
110100001000011     26691               6843                
10111101111001      32766               7515141             
110101011100011     27363               661413              
110100001110100     26740               6874                
110000110110000     25008               61111               
101110101010000     23888               53155               
100011000000111     65534               51515141            
11011111000110      14278               37216               
11010111110011      32766               7515141             
100000011011010     65534               51515141            
101000011010110     20694               55316               
110011000100111     26151               6627                
11101000011011      32766               7515141             
111001011001101     29389               72CD                
111001101010111     29527               7357                
11100101100010      32766               7515141             
111001110011000     65534               51515141            
101000000110100     20532               5034                
11000101110100      12660               3174                
10111010100110      11942               241116              
101111010010000     65534               51515141            
11010011011011      32766               7515141             
110010110001111     25999               658F                
100000101001100     16716               414C                
10111000101100      11820               241221              
101001010011110     21150               52941               
11010000111111      13375               343F                
101110110000100     23940               5D84                
110011001111000     65534               51515141            
101000011011011     20699               553111              
101011100011101     22301               57131               
11011101001111      14159               374F                
10100010111100      10428               28BC                
110010111010011     26067               65313               
11110011111000      15608               3CF8                
100001010010000     17040               4290                
111001100101001     29481               7329                
111000010101110     28846               70AE                
111011001001000     30280               7648                
101001011000101     21189               52215               
10101100100111      11047               21127               
11010010001111      32766               7515141             
101101011001101     23245               5512131             
110011010011011     26267               66911               
11101101010011      15187               31153               
101101110111001     65534               51515141            
100100110001011     18827               49811               
111111011110011     65534               51515141            
111110000011110     65534               51515141            
111000010001101     28813               77831               
10110010111000      11448               221118              
11001100101010      32766               7515141             
10110000000101      11269               22115               
110011000010111     26135               6617                
10100110001101      10637               29831               
111000101000101     28997               7145                
11101010101001      32766               7515141             
111101000110001     65534               51515141            
101101101110101     23413               5B75                
111011100111001     65534               51515141            
111010000100010     65534               51515141            
111101111111111     31743               7BFF                
100110010010100     19604               4C94                
111000101101001     29033               7169                
11101111100111      32766               7515141             
11001101110110      13174               3376                
100000100110011     16691               4133                
101110100010100     65534               51515141            
110100010111011     65534               51515141            
11100000001010      14346               38881               
10101011011011      10971               2213111             
110010010111101     25789               64BD                
101100111001001     22985               59219               
110111100010101     65534               51515141            
110111001011100     28252               6E5C                
100100000000101     18437               4805                
101011111110101     65534               51515141            
101110100100000     23840               5D20                
101000110000001     20865               5181                
11110101111000      15736               3D78                
11101100101110      15150               311241              
11111101001010      16202               351441              
101000101000111     65534               51515141            
10110111101011      11755               2314111             
11101110001011      32766               7515141             
111111000110101     32309               7E35                
110001100100011     65534               51515141            
110100111010111     27095               69D7                
111010011110000     65534               51515141            
10110001110110      11382               2C76                
110001000001101     25101               62231               
101111101001111     65534               51515141            
10011111111001      10233               27519               
111100000111001     30777               7839                
11100011101011      32766               7515141             
10110110101101      11693               2311131             
11000110010000      32766               7515141             
11010111000010      13762               35212               
111110000011001     31769               72119               
11100111100101      14821               39415               
110001010110100     25268               62114               
10111101101001      12137               2F69                
101000110111001     65534               51515141            
10011100101001      10025               2729                
110011111011101     26589               673131              
100000001001000     16456               4048                
100110101010100     19796               43154               
101010001100011     65534               51515141            
110110110011110     65534               51515141            
101011101100100     22372               5764                
10101110110001      11185               2BB1                
100111101110101     65534               51515141            
111011111011001     30681               77319               
10110101010010      11602               23152               
111011100101110     65534               51515141            
111111100100011     32547               7F23                
10100000001011      10251               280B                
111001111010110     29654               73316               
111000000010011     28691               7013                
110100111100010     27106               69412               
101011010001111     22159               568F                
100100101111111     18815               49751               
11011001010000      13904               3655                
11001101001010      13130               334A                
11110111101101      15853               3314131             
101001001100100     65534               51515141            
100001000000001     16897               4201                
111001100010101     29461               7315                
100101101011110     19294               4B5E                
101100000110111     65534               51515141            
100000001010000     16464               4050                
110010110110100     26036               65B4                
10100001110101      32766               7515141             
111100111100001     31201               79E1                
111010100011100     29980               751C                
101111001010001     24145               54151               
101010001011001     65534               51515141            
101101111000101     65534               51515141            
110101101100011     27491               6B63                
111110011000101     31941               721215              
101100111101010     23018               59EA                
10101011101000      32766               7515141             
10101001110000      10864               22177               
10101110110001      32766               7515141             
11110010000010      15490               3C82                
101001010011101     65534               51515141            
111011001111001     30329               7679                
111110001000000     65534               51515141            
11111001001011      15947               341411              
11110110010110      15766               3D96                
110000000000000     24576               6666                
101011101011010     22362               57551               
110001111100010     25570               63412               
100110110100010     19874               4DA2                
111100001100100     65534               51515141            
110100110100011     27043               69A3                
110011100100010     26402               6722                
111000001001001     28745               7749                
11010011000011      13507               34213               
11001100000011      32766               7515141             
111001000001011     29195               720B                
10110101101000      11624               2D68                
100010000111010     17466               443A                
110001001101000     65534               51515141            
11001100111010      13114               333A                
10111110111100      32766               7515141             
111100000101111     30767               782F                
110101010111111     65534               51515141            
111011100100010     30498               7722                
110101001011000     27224               66158               
11000101101100      12652               316C                
101100101001100     22860               59421               
101001101100010     21346               5362                
110100111101110     27118               694141              
100011100100100     18212               4724                
101001111000001     21441               53C1                
101000000110111     65534               51515141            
110111000110110     28214               64136               
10011100110100      10036               2734                
10110010001101      32766               7515141             
111001000100001     65534               51515141            
10101100000101      11013               21115               
100001010001101     17037               428D                
111000100011110     28958               711E                
110111101100110     28518               65166               
110011100010100     26388               6714                
110010010110011     25779               64B3                
110111000000011     65534               51515141            
101010010111100     65534               51515141            
10110011100101      11493               2CE5                
11011100010000      14096               3710                
111010001110000     65534               51515141            
11010101100010      32766               7515141             
101001010110100     21172               52114               
11001101101100      13164               33621               
110001111000100     25540               63C4                
100101001100100     19044               44164               
111111011011110     32478               7EDE                
11111000011101      15901               3E1D                
101111011011110     65534               51515141            
111011000111101     30269               76331               
110110110111110     65534               51515141            
110110000001011     27659               621111              
11001111110111      13303               33F7                
11011110100011      14243               37A3                
100001011111001     17145               42F9                
111101100110101     31541               7B35                
11111001101100      15980               3E6C                
110111100111011     28475               651311              
11111100100110      32766               7515141             
110110000111010     65534               51515141            
100100100110011     18739               4933                
101111001110111     24183               5E77                
11001011000001      32766               7515141             
10011101011010      32766               7515141             
100010000110010     17458               4432                
100101110011010     65534               51515141            
110101100011001     27417               61119               
100001001110110     17014               4276                
101110111110000     65534               51515141            
110100110111110     65534               51515141            
100011011110000     18160               46511               
110111011000110     28358               641216              
10100010111101      10429               28BD                
10111111111010      12282               2FFA                
101101010101100     65534               51515141            
110101101011010     65534               51515141            
100010010011010     17562               449A                
11010101010011      32766               7515141             
111111110001111     65534               51515141            
101101111101110     65534               51515141            
100110100010111     19735               43117               
101000010100000     20640               50A0                
110011110110100     65534               51515141            
10101100110101      11061               21135               
101011011000100     65534               51515141            
11110100110111      32766               7515141             
100100001001100     65534               51515141            
110011100011000     26392               6718                
110110101000101     27973               63145               
101010111010001     21969               55311               
11011001010100      32766               7515141             
110101110111001     27577               6BB9                
10011110100010      32766               7515141             
101000000010010     20498               5012                
100101101101000     19304               41168               
111011011111010     65534               51515141            
110100001100101     26725               6865                
111110011011000     65534               51515141            
10111011110111      12023               2EF7                
101100011100010     22754               58412               
101011011110010     65534               51515141            
101011101001011     65534               51515141            
111001001010110     29270               7256                
100111111100100     20452               451414              
101011011100101     22245               56E5                
100101010001100     65534               51515141            
11000011010010      32766               7515141             
11111010101010      16042               3EAA                
11100010101111      14511               38AF                
110110101000100     27972               63144               
101010011100101     21733               54415               
101101111011110     65534               51515141            
100011111010011     18387               47313               
101111000101111     65534               51515141            
101100111110110     23030               59F6                
11101110001000      15240               3B88                
101100111010100     65534               51515141            
100000110111001     16825               41B9                
101101001001000     23112               5A48                
101110100100100     65534               51515141            
101011100010101     22293               5715                
111001000010111     29207               7217                
110101110110111     65534               51515141            
101011010101101     22189               566131              
10100000010010      10258               2812                
11101011001010      15050               3ACA                
110101110011010     27546               6B9A                
11011001000000      13888               3640                
110101010111100     27324               6611121             
111110010110001     31921               7CB1                
11100111010001      14801               39311               
11110101010010      15698               3D52                
111011010010001     30353               7691                
10011101110110      32766               7515141             
110001100000011     25347               6333                
101100100110111     22839               5937                
100100100111001     18745               4939                
110110111010010     65534               51515141            
111001010000011     65534               51515141            
110001110111101     25533               63BD                
111001111000101     29637               73215               
110000010101000     65534               51515141            
111101011100111     31463               771417              
111101000000110     65534               51515141            
110000101111100     65534               51515141            
100010011110000     17648               44511               
100011001000010     17986               4642                
101111011010011     24275               5ED3                
10111000111000      11832               2E38                
111101110110101     31669               7BB5                
101100101010011     22867               5953                
101011010111110     22206               56BE                
111110101101111     32111               7D6F                
10011101100000      10080               2760                
100010101101100     17772               45621               
101111000010010     65534               51515141            
101000111010000     20944               51D0                
110101101100110     27494               6B66                
11000100000110      32766               7515141             
111111110011101     32669               751931              
11000100100111      12583               3127                
111011010010000     30352               7690                
110000011101101     65534               51515141            
11011011111101      14077               365131              
10100001110101      10357               2875                
11110101000010      15682               3D42                
111111010111111     32447               7411151             
101011110101110     22446               57AE                
101010011010100     21716               54314               
10100110010110      32766               7515141             
101100101100100     65534               51515141            
10110100111010      11578               231331              
111011111000010     30658               77212               
10111111001110      12238               2FCE                
110001011001011     25291               622111              
100000010100010     65534               51515141            
101001110001100     21388               538C                
101110011001000     23752               521218              
10111001010011      11859               2E53                
101011011101000     22248               56E8                
111011011011101     65534               51515141            
110111111010111     28631               6FD7                
111111010111100     32444               7411121             
100110101001101     65534               51515141            
101011100011011     22299               57111               
11110010111101      32766               7515141             
11010001011001      32766               7515141             
101100111110011     23027               59513               
101001100111001     65534               51515141            
111110011001101     31949               7212131             
100010000101001     17449               4429                
101011111100100     65534               51515141            
101001101110111     65534               51515141            
11110011110011      15603               321513              
111100110001110     31118               79841               
11010000101100      13356               34221               
11110000000101      32766               7515141             
100100111010011     18899               49313               
111100101110111     65534               51515141            
111000100100110     65534               51515141            
111010111100101     30181               75E5                
111000101011111     29023               715F                
10100111100100      10724               29414               
101000110000011     20867               5183                
111100001101001     30825               7869                
101001111110101     21493               53F5                
10111110101010      12202               2FAA                
100010010111010     65534               51515141            
11000001101101      12397               33631               
100101110111100     19388               4111121             
110110011010110     65534               51515141            
11111010000110      32766               7515141             
111001011110101     29429               72F5                
101010010101000     21672               54418               
101000111111001     20985               51F9                
11101000110111      32766               7515141             
110010110101101     65534               51515141            
110111001101110     65534               51515141            
101000001110111     20599               5077                
111101101001101     65534               51515141            
11001110010111      13207               3397                
110001011010111     25303               62317               
100001010110011     17075               42B3                
10011110101000      10152               27A8                
101111010101110     65534               51515141            
101010000110101     65534               51515141            
101100011111100     65534               51515141            
111110000010101     31765               7C15                
111010111011000     30168               75D8                
101011100111100     22332               573C                
110000000000101     65534               51515141            
111001010001111     65534               51515141            
100111110101001     20393               451119              
111110000001001     31753               7C09                
10100001110011      10355               2873                
111110000101101     65534               51515141            
101000010001110     20622               508E                
11101110001100      15244               3B8C                
101110110000111     23943               53187               
110100101111000     27000               6978                
110001101110111     25463               6377                
110100110110001     65534               51515141            
101000110101010     20906               511111              
11000001101110      12398               33641               
110110001111111     65534               51515141            
110000010110101     24757               60B5                
110010101001010     65534               51515141            
110111111010010     65534               51515141            
111100011011011     65534               51515141            
111100010110101     65534               51515141            
101100011001111     22735               58CF                
100000100111101     16701               41331               
101001100100110     65534               51515141            
110101001001010     27210               661441              
111110000110010     65534               51515141            
101011101111001     22393               5779                
11100010111111      32766               7515141             
11010111100111      32766               7515141             
10110101101000      32766               7515141             
100101100100100     19236               4B24                
100000110011000     65534               51515141            
110111110001111     65534               51515141            
11111101000011      32766               7515141             
10100011010110      10454               28D6                
11011100111111      14143               37351               
11001001001011      12875               32411               
100000010010001     65534               51515141            
101100011001101     22733               58CD                
11001111110011      13299               33F3                
101111111010001     24529               5FD1                
101110110011100     23964               531921              
11100100011001      14617               3919                
100110100110110     65534               51515141            
101110010101101     23725               5CAD                
11011101111001      14201               3779                
100011101100000     18272               4766                
101010010001011     21643               548B                
111000110011000     29080               7198                
100000000100100     65534               51515141            
11010110100101      13733               35515               
110000001011011     24667               66511               
111000011000100     28868               70C4                
110010101011001     65534               51515141            
11010110101111      13743               35AF                
110000001000010     65534               51515141            
10111000001111      11791               241151              
11010101100110      32766               7515141             
100010100011011     17691               45111               
111100101111001     65534               51515141            
110011001100010     26210               6662                
111110111111000     32248               731518              
100000101111110     16766               41741               
110111010101011     65534               51515141            
100001111110001     17393               43F1                
111110011111100     31996               7215121             
110101110111001     27577               6BB9                
10100011010011      10451               28D3                
10111010111111      11967               2EBF                
101110111000001     24001               531211              
100010011010111     17623               44317               
101011001011101     22109               565D                
10111100110110      32766               7515141             
101001011111110     65534               51515141            
100100010100100     18596               48814               
101100100000010     22786               5992                
111110010010100     31892               7C94                
111100011101111     30959               784151              
100010100101100     17708               452C                
111010100010111     65534               51515141            
110010011101101     25837               644131              
111010011000111     29895               74217               
11011011110100      14068               36514               
100010011010010     17618               44312               
110101111001011     65534               51515141            
11010100011111      13599               351F                
11000010101110      32766               7515141             
110001000110111     25143               6237                
101001111011011     21467               533111              
110111110111100     65534               51515141            
101100100011111     65534               51515141            
101010011110010     21746               54512               
101111100110111     24375               55137               
110111000010010     65534               51515141            
100110101101100     19820               431621              
110100010111001     26809               68B9                
11011101100100      14180               3764                
111010000101011     65534               51515141            
101011001000111     22087               5647                
111100110000010     65534               51515141            
101101000011110     65534               51515141            
110101110000010     65534               51515141            
100010011001110     17614               442141              
11100110110000      32766               7515141             
111101111100111     31719               7BE7                
110000011000011     65534               51515141            
111101101000101     31557               71145               
100000001010110     16470               4056                
110111101101101     65534               51515141            
110010111101100     26092               654121              
100010010010011     17555               4493                
110011001000100     26180               6644                
111000100111111     65534               51515141            
11000110111001      32766               7515141             
110110100100111     27943               63127               
100111011100111     20199               4EE7                
111111011111100     32508               7415121             
11100100001001      32766               7515141             
110001100110110     25398               6336                
110000001010000     24656               6655                
111011010010110     65534               51515141            
110111111110011     28659               6FF3                
100101000111000     19000               4A38                
110001011110111     25335               62F7                
100101111010001     19409               4BD1                
10101111101001      11241               211419              
101110100110111     65534               51515141            
100110101001010     19786               4D4A                
101001111111100     21500               53FC                
11000110101100      12716               31AC                
110011101001101     65534               51515141            
111001110011101     29597               73931               
100010000110010     17458               4432                
101010101010110     21846               5556                
101110100110111     23863               5D37                
110101010011110     65534               51515141            
101101101100111     65534               51515141            
101000100010100     20756               5114                
101101100110111     65534               51515141            
110111010001010     65534               51515141            
11010000101100      13356               34221               
101100100011011     22811               59111               
110000001010011     65534               51515141            
111001000010010     29202               7212                
111010000101001     65534               51515141            
110001000101010     25130               62221               
111100010110100     30900               78B4                
100111001001110     20046               4E4E                
110011010011001     65534               51515141            
11000000011111      12319               33151               
100110001100101     19557               42165               
110000111011010     65534               51515141            
11000100101001      12585               3129                
10110010101011      11435               2211111             
10100000001000      32766               7515141             
11000010001110      32766               7515141             
101011110011101     22429               57931               
11111010100010      32766               7515141             
101111100100110     24358               5F26                
11100111100101      14821               39E5                
100101011011011     65534               51515141            
111010000110110     29750               7436                
110101110111011     65534               51515141            
110110000111111     65534               51515141            
10111010100011      32766               7515141             
101111110101101     24493               5511131             
11100110100110      14758               39916               
110101100001101     65534               51515141            
100011011110010     18162               46512               
100011100000110     18182               4776                
111110110000010     32130               73182               
100010000101010     17450               442A                
111101110100101     65534               51515141            
101010000111000     65534               51515141            
101101000111111     23103               551351              
11000010100001      12449               30A1                
100101101000111     65534               51515141            
11010010011110      13470               34941               
101001100000010     65534               51515141            
110101110101110     27566               6BAE                
11011111010001      14289               37D1                
11001001011010      12890               32551               
111011000100101     30245               7625                
110111000011110     28190               6E1E                
10100101001001      10569               2949                
100111001100001     20065               44161               
101101100100001     23329               5B21                
101010110000101     21893               5585                
101010100011001     21785               5519                
111101110000010     31618               7B82                
100000110000010     16770               4182                
100110000010010     65534               51515141            
111111100000100     32516               75114               
11110111010111      15831               331317              
11000001111110      32766               7515141             
101111110010110     24470               55196               
101101100011010     23322               5B1A                
111011000000111     30215               7667                
11011110010000      32766               7515141             
110111010111111     28351               6EBF                
101111011010111     65534               51515141            
110010110110000     26032               65111               
110110001100001     27745               6C61                
10110010001110      32766               7515141             
11101000000000      14848               3A00                
101100100000001     22785               5991                
100110100010110     65534               51515141            
100010011011111     17631               443151              
10110100100011      32766               7515141             
11101101010110      15190               3B56                
100111001100110     20070               44166               
111011010111100     30396               761121              
110000011000110     24774               60C6                
101011110110011     65534               51515141            
101111110010100     24468               55194               
11001101111011      13179               33711               
101001011001100     21196               522121              
111001011000100     29380               72214               
100000101000101     65534               51515141            
101111011011111     24287               5EDF                
110111110110010     28594               6FB2                
101111011011110     24286               5413141             
100101110000011     19331               4B83                
100100001101001     18537               4869                
100100010101101     18605               48AD                
100110101001001     65534               51515141            
11010001100101      13413               3465                
100100111010001     18897               49D1                
101100101100001     65534               51515141            
10101011110111      10999               221517              
101101101111000     23416               51178               
101000010001000     20616               5088                
110101001110111     65534               51515141            
111011100111001     30521               7739                
110001111101111     25583               634151              
11101000011111      14879               3A1F                
111100011111111     30975               78FF                
110100100110001     65534               51515141            
101001110010111     21399               5397                
100011011101101     65534               51515141            
101000001001000     20552               5048                
101011010110111     22199               56117               
110010001000110     65534               51515141            
11111100101111      32766               7515141             
100010011001010     17610               442111              
101111100110011     24371               55133               
11100110101111      14767               399151              
110101100011010     27418               6B1A                
100100010011101     65534               51515141            
11011110000101      14213               3785                
100001100000111     17159               4337                
11001010001111      12943               328F                
111100111100110     65534               51515141            
110111111011010     28634               6513111             
110101101110001     27505               6B71                
100110001110010     19570               42172               
110001111000110     25542               63216               
101011001110101     22133               5675                
100010001011100     17500               44521               
10011100011101      10013               271D                
110101100100001     27425               6B21                
111010011001010     29898               74CA                
101000011110010     20722               50F2                
100010000101101     17453               442D                
11000100110010      12594               3132                
100010111001000     65534               51515141            
100011101010110     18262               4756                
111111101001000     32584               75148               
10110011001010      32766               7515141             
10110110010111      11671               23197               
10111110010100      12180               2F94                
10011111011010      10202               27DA                
11100101100010      14690               3962                
110011100100010     26402               6722                
11010100011001      13593               3519                
100011010011011     65534               51515141            
101000111111101     20989               515131              
110000011010011     24787               60D3                
11010101110000      32766               7515141             
110101001101000     65534               51515141            
101011110000000     22400               5780                
100010100011111     65534               51515141            
111000000001000     28680               7008                
