Employee ID    Category       Sales Amount
1575           Hardware             404.81
1558           Software             750.42
1247           Software             699.63
1264           Software             792.31
1528           Hardware             428.76
1537           Hardware             840.27
1234           Hardware            1173.30
1234           Software             726.39
1247           Software             889.30
1254           Software             272.36
1276           Software             397.33
1558           Hardware             649.28
1825           Software             442.50
1864           Hardware            1236.13
1825           Hardware             699.85
1565           Software             358.65
1835           Hardware            1097.74
1547           Hardware             299.65
1229           Software             843.44
1559           Hardware             927.51
1849           Hardware             512.56
1266           Software             335.71
1268           Software             581.25
1545           Software             877.48
1575           Hardware             791.09
1525           Hardware             937.20
1546           Software             694.56
1857           Hardware             855.53
1559           Hardware             781.84
1277           Software             343.19
1525           Hardware             543.95
1559           Software             798.17
1824           Software             867.08
1545           Software             859.34
1228           Software            1114.87
1557           Software             609.22
1257           Hardware             272.72
1548           Software             779.92
1225           Software             564.76
1849           Software             331.02
1254           Hardware             854.64
1257           Software             809.30
1534           Hardware             271.67
1245           Software             812.20
1236           Software             395.56
1544           Hardware             986.91
1858           Software             381.33
1857           Software             884.88
1258           Hardware             412.42
1568           Hardware            1102.74
1554           Software             849.83
1566           Hardware            1031.41
1266           Software             440.21
1556           Software             626.33
1829           Software             991.66
1258           Software             559.63
1237           Software             837.32
1838           Software            1124.23
1249           Hardware             530.36
1845           Hardware             275.57
1579           Software            1080.47
1277           Software            1183.02
1848           Hardware            1146.61
1838           Hardware             653.71
1575           Hardware             556.96
1229           Software             829.76
1824           Software             512.85
1279           Software             505.69
1236           Software             869.63
1837           Hardware             457.99
1844           Hardware             857.38
1259           Software            1159.58
1257           Software             628.17
1546           Software            1245.22
1237           Software             997.98
1869           Hardware            1123.57
1564           Hardware             748.97
1235           Hardware            1076.90
1265           Software             893.03
1259           Hardware             263.24
1865           Hardware            1247.52
1567           Software             966.92
1864           Hardware             694.07
1839           Hardware             474.29
1829           Hardware             538.23
1868           Software             981.58
1227           Software             282.97
1566           Software             850.75
1239           Software            1237.81
1536           Hardware             659.09
1876           Hardware             322.51
1864           Software             355.73
1267           Software             444.13
1246           Hardware             936.54
1577           Software             808.47
1844           Hardware             999.67
1259           Software             556.56
1246           Hardware             561.37
1868           Software            1108.29
1859           Software             503.05
1839           Software             553.86
1574           Software            1025.41
1534           Software             512.13
1834           Hardware             481.63
1239           Hardware             798.52
1247           Hardware             979.31
1229           Software             283.52
1266           Software            1103.21
1544           Software             335.61
1867           Software            1155.54
1834           Software            1197.43
1274           Hardware             268.80
1529           Software             685.16
1277           Software             790.88
1256           Software             591.90
1549           Software             282.44
1528           Software            1143.01
1275           Software             548.41
1576           Software             918.17
1256           Software            1024.38
1255           Software             574.18
1245           Hardware             941.96
1238           Software             781.24
1244           Hardware             617.80
1878           Hardware             712.70
1236           Software             251.16
1849           Hardware             491.03
1827           Software             607.09
1244           Hardware             955.01
1834           Software             952.85
1844           Hardware            1110.95
1564           Software             627.58
1845           Hardware             662.78
1259           Software             630.12
1258           Hardware             993.02
1829           Hardware             573.73
1237           Software             950.30
1225           Hardware             409.75
1549           Hardware             842.52
1534           Software             277.91
1237           Software             993.33
1846           Software             870.26
1269           Software             251.02
1259           Software             674.61
1875           Software             815.44
1235           Software             472.30
1275           Software             751.07
1845           Software             477.18
1827           Software             589.91
1527           Software             477.72
1259           Hardware             357.25
1856           Hardware             352.08
1874           Hardware             437.04
1274           Hardware             369.02
1228           Software             617.81
1537           Software             585.58
1867           Software             719.05
1267           Hardware             778.32
1847           Software            1158.78
1555           Hardware             252.04
1844           Hardware             837.42
1535           Software             900.87
1565           Software             730.56
1579           Hardware             900.59
1228           Software             530.75
1227           Software             420.03
1267           Hardware             757.04
1566           Software             708.43
1556           Hardware             670.14
1534           Software             934.72
1544           Hardware             384.22
1839           Hardware            1169.48
1544           Hardware             557.01
1529           Hardware             870.47
1579           Software            1019.30
1529           Software             252.71
1249           Software             721.50
1559           Software             911.85
1859           Hardware             384.31
1825           Software            1084.80
1557           Software            1215.29
1267           Hardware             916.46
1848           Software            1063.20
1265           Software            1112.41
1575           Hardware             410.01
1229           Hardware             341.45
1545           Software             542.45
1837           Software             781.89
1877           Software             299.03
1256           Software            1165.45
1557           Software             767.21
1837           Hardware             708.57
1879           Software             289.90
1247           Software             304.12
1548           Hardware            1179.87
1554           Hardware             344.40
1269           Software             495.14
1569           Software             544.08
1855           Software             268.17
1526           Software            1159.28
1554           Hardware             543.65
1565           Hardware             952.40
1845           Software             620.86
1844           Hardware             300.73
1868           Software             864.52
1276           Software             804.63
1234           Software             460.76
1837           Hardware             778.17
1276           Software             490.44
1555           Hardware            1006.22
1258           Software             702.37
1568           Software            1124.61
1824           Software             352.53
1558           Software            1013.56
1536           Hardware             494.01
1248           Hardware             572.92
1854           Hardware            1080.70
1538           Software             255.42
1859           Hardware             267.41
1244           Hardware             730.54
1254           Software             291.52
1544           Hardware            1059.98
1845           Hardware             280.82
1578           Software             746.72
1539           Software             396.58
1847           Software            1064.28
1867           Hardware             667.61
1234           Software             986.29
1275           Software             892.32
1537           Software            1151.20
1254           Software             986.42
1569           Hardware            1199.84
1544           Hardware            1156.44
1847           Hardware             862.97
1575           Hardware             261.70
1827           Hardware            1198.47
1536           Software             749.71
1859           Hardware             320.14
1836           Software             535.89
1244           Hardware            1024.04
1548           Software            1208.38
1227           Software             653.08
1848           Software             915.99
1554           Software             621.92
1828           Hardware             341.99
1569           Software             916.93
1244           Hardware            1113.69
1258           Software            1010.17
1545           Hardware            1032.74
1867           Software             510.12
1847           Hardware             502.93
1555           Software             955.31
1557           Software             529.39
1547           Software            1109.34
1254           Software             658.10
1576           Software            1143.57
1549           Software            1246.56
1536           Hardware            1076.02
1524           Software             407.54
1227           Software             846.59
1524           Software            1056.65
1526           Hardware             388.32
1558           Software             371.76
1247           Hardware            1102.66
1554           Software            1094.13
1874           Software            1062.60
1524           Software            1018.96
1576           Software             381.48
1879           Software            1049.47
1268           Hardware            1067.45
1564           Hardware            1207.18
1278           Software             763.38
1535           Software             959.45
1276           Software             754.12
1546           Software            1234.92
1549           Hardware             599.02
1528           Software             515.03
1538           Software             775.52
1228           Software             380.21
1265           Hardware             696.70
1548           Hardware             853.74
1566           Hardware             504.74
1264           Software             959.25
1554           Software             980.02
1835           Hardware             849.50
1556           Software             964.96
1567           Software             863.53
1247           Software             668.16
1226           Hardware             922.98
1548           Hardware            1239.03
1868           Hardware             608.40
1264           Software             948.58
1268           Hardware             323.50
1879           Software             405.36
1567           Hardware             885.20
1855           Hardware            1141.30
1578           Software             944.34
1849           Software             951.48
1254           Software             602.90
1228           Software             377.59
1565           Software             598.65
1575           Hardware             692.99
1239           Hardware             434.13
1254           Hardware             769.23
1568           Software             831.74
1874           Software            1205.01
1834           Hardware             870.89
1238           Software            1083.24
1548           Hardware            1212.03
1539           Software             737.26
1238           Software             756.57
1868           Software             906.09
1229           Hardware            1128.32
1564           Hardware             637.43
1539           Hardware             348.61
1259           Software             326.48
1229           Hardware            1088.71
1226           Software             271.27
1857           Hardware             854.62
1868           Hardware            1099.54
1525           Software             511.94
1274           Hardware             452.98
1247           Hardware             482.92
1856           Hardware             317.58
1848           Software            1032.24
1824           Software             350.27
1236           Software             989.73
1828           Hardware             589.32
1228           Software             290.69
1837           Hardware             926.79
1845           Software             724.75
1529           Hardware             707.60
1265           Hardware            1234.12
1556           Hardware             845.17
1859           Software            1180.23
1875           Hardware             816.66
1837           Software             910.40
1875           Hardware             905.44
1558           Software            1034.64
1866           Software            1093.85
1878           Software             765.35
1566           Hardware             951.06
1576           Software             702.76
1876           Hardware             912.87
1536           Hardware             443.10
1876           Software             305.40
1235           Hardware             380.26
1236           Hardware             520.48
1846           Hardware            1080.91
1875           Hardware             682.69
1254           Software             593.84
1875           Software            1206.78
1579           Hardware            1100.57
1258           Hardware             613.55
1574           Software            1240.85
1878           Software             976.90
1855           Software             515.23
1245           Hardware             371.96
1237           Software            1143.34
1559           Software             721.26
1579           Software             721.80
1257           Software             386.71
1536           Software            1095.75
1837           Hardware             894.30
1878           Software             792.75
1246           Hardware            1175.44
1876           Software             402.96
1877           Hardware             677.72
1869           Hardware             280.52
1856           Software             752.08
1554           Hardware             938.93
1546           Hardware             655.19
1577           Software             512.36
1867           Hardware             566.87
1247           Software             680.78
1249           Software             988.61
1254           Hardware             384.69
1258           Hardware             908.81
1826           Hardware             767.44
1564           Hardware            1083.84
1238           Hardware             662.95
1528           Hardware             842.66
1245           Software            1041.71
1526           Software             764.92
1265           Software             774.97
1225           Software             621.43
1526           Hardware            1092.93
1844           Software             947.83
1869           Software            1111.85
1237           Hardware             616.37
1867           Software             809.02
1567           Hardware             810.68
1827           Hardware             820.28
1276           Hardware             731.41
1846           Software             425.16
1244           Software             463.51
1238           Hardware            1108.41
1268           Hardware             327.22
1845           Hardware            1065.83
1577           Hardware            1126.46
1558           Software            1029.24
1278           Software             646.62
1229           Software             791.49
1554           Hardware             792.54
1865           Hardware             789.43
1245           Hardware             729.61
1568           Hardware            1150.62
1544           Hardware             407.86
1876           Software             538.71
1228           Hardware             844.85
1227           Software            1220.38
1528           Software             539.35
1548           Software             671.69
1855           Software             399.61
1869           Hardware            1159.70
1256           Software             546.03
1866           Software             619.27
1534           Software             374.30
1278           Software            1249.90
1238           Software             255.68
1234           Hardware            1153.46
1836           Software            1236.42
1274           Hardware             446.76
1838           Software            1129.14
1846           Software            1175.74
1845           Software             358.08
1238           Software             426.20
1246           Hardware             937.03
1865           Hardware            1018.96
1256           Hardware             953.94
1535           Software            1128.32
1576           Hardware             935.94
1226           Software            1243.66
1559           Software             483.73
1869           Software             805.06
1856           Hardware             527.22
1226           Hardware             932.92
1264           Hardware             590.22
1274           Hardware             571.27
1529           Software             443.17
1825           Software             490.77
1567           Software             511.69
1856           Software             447.34
1567           Hardware             411.83
1576           Hardware             942.02
1274           Software            1005.96
1525           Hardware             906.32
1548           Hardware             326.14
1238           Hardware             722.59
1878           Hardware             772.82
1536           Hardware             923.50
1826           Hardware             923.75
1264           Hardware             979.42
1877           Hardware             375.05
1576           Hardware             518.56
1264           Software             950.20
1546           Software             370.82
1844           Hardware             665.89
1876           Software             809.13
1538           Hardware             839.66
1849           Software             358.28
1277           Hardware             700.03
1238           Software             551.93
1526           Software             879.21
1844           Hardware            1006.90
1236           Hardware            1164.09
1859           Hardware            1192.39
1227           Hardware             884.52
1845           Hardware             275.20
1574           Hardware             296.61
1847           Hardware             407.71
1869           Software             369.10
1859           Software             827.51
1869           Hardware             308.52
1237           Hardware            1163.55
1227           Hardware            1224.07
1576           Hardware             310.79
1245           Software             305.15
1224           Hardware            1246.04
1869           Software             877.33
1246           Hardware            1167.04
1527           Software             710.69
1869           Hardware             323.49
1538           Software             974.36
1566           Software             925.11
1279           Software            1186.19
1865           Hardware             484.41
1826           Hardware             549.40
1528           Hardware             994.11
1549           Software            1053.03
1824           Hardware             284.18
1564           Software             693.21
1828           Hardware             964.22
1567           Hardware            1216.93
1877           Hardware             297.15
1864           Software             730.33
1277           Hardware             404.08
1527           Software             586.39
1848           Software            1160.21
1537           Software             885.75
1836           Hardware            1157.64
1567           Software             998.72
1876           Hardware            1119.96
1835           Hardware             459.21
1545           Software            1133.52
1854           Software             634.52
1829           Hardware            1076.25
1874           Hardware             500.88
1239           Hardware             612.87
1565           Hardware             950.61
1847           Hardware            1139.37
1529           Hardware             972.65
1256           Software            1042.73
1235           Hardware            1090.58
1565           Hardware             663.59
1824           Hardware             432.80
1555           Hardware             325.89
1259           Software             814.77
1259           Software             805.30
1558           Software            1198.30
1536           Software             629.25
1247           Software             917.68
1276           Hardware             563.60
1277           Hardware            1022.49
1528           Hardware             672.66
1547           Software            1151.05
1829           Software             326.47
1227           Hardware             262.35
1856           Hardware             526.32
1859           Software             647.30
1835           Software             923.28
1267           Software             555.23
1875           Software             911.60
1547           Hardware             841.49
1875           Software            1165.99
1528           Software             987.04
1229           Software             995.43
1248           Software             887.86
1544           Software             898.70
1529           Software             763.07
1577           Hardware             685.13
1559           Hardware             586.76
1869           Software             544.80
1235           Hardware             385.14
1229           Hardware             431.80
1239           Software             808.18
1258           Hardware            1152.56
1235           Hardware             320.38
1875           Software             518.13
1266           Software             409.70
1555           Software             943.22
1237           Software            1171.45
1234           Software             864.84
1279           Software             657.01
1276           Hardware             356.63
1565           Hardware             349.29
1227           Hardware             317.46
1849           Hardware            1152.84
1527           Hardware             599.38
1535           Hardware            1250.33
1877           Hardware             455.73
1868           Hardware            1247.50
1268           Software             690.33
1867           Hardware             918.24
1274           Hardware             875.46
1277           Software             975.84
1837           Software            1009.79
1839           Software            1224.16
1247           Software             998.86
1259           Hardware             464.72
1824           Software             339.13
1555           Hardware             536.44
1876           Software             362.44
1248           Software             864.04
1558           Software             424.82
1555           Hardware             890.87
1269           Software             421.34
1525           Hardware             764.16
1848           Software            1001.12
1279           Hardware             662.41
1538           Software             837.20
1254           Hardware            1120.94
1277           Hardware             357.16
1564           Software             741.42
1224           Software             283.51
1225           Software             671.20
1239           Software             374.52
1225           Hardware            1200.43
1226           Hardware             737.49
1247           Software             867.72
1268           Software            1077.37
1547           Software             465.32
1275           Hardware             277.44
1539           Software             283.67
1278           Hardware             673.10
1579           Software             995.10
1575           Software             384.58
1545           Software             549.69
1539           Hardware            1110.37
1839           Hardware             445.12
1838           Hardware             730.42
1548           Software             766.29
1577           Hardware            1113.77
1834           Hardware             342.80
1546           Hardware             482.66
1259           Software             429.87
1246           Hardware             739.92
1535           Software             259.89
1239           Hardware            1098.49
1247           Software             855.20
1826           Hardware             420.04
1855           Software             481.18
1579           Hardware             620.46
1238           Hardware            1094.40
1256           Hardware             509.12
1554           Hardware            1182.75
1256           Software             473.87
1545           Hardware             359.44
1856           Hardware             329.49
1277           Hardware            1094.70
1239           Software             766.62
1829           Software             946.11
1566           Software             720.95
1559           Hardware             682.38
1227           Hardware            1081.55
1276           Software             654.50
1555           Software            1083.34
1554           Software             811.11
1245           Software             774.32
1267           Software             711.99
1568           Hardware             929.71
1266           Hardware             924.46
1835           Software             775.74
1239           Software            1189.75
1255           Software             928.89
1828           Hardware             706.94
1825           Software             880.67
1576           Hardware             934.69
1839           Software             451.59
1547           Software             266.25
1559           Hardware             548.35
1827           Software             981.98
1544           Hardware             622.04
1875           Software             800.01
1247           Software            1202.27
1559           Hardware             480.02
1555           Software             861.09
1254           Hardware             767.01
1246           Hardware            1021.54
1879           Hardware            1118.91
1228           Software             932.80
1236           Hardware             558.92
1555           Software            1241.72
1564           Hardware            1037.46
1847           Software             490.59
1235           Hardware             673.56
1258           Software             949.20
1554           Software             258.66
1258           Hardware            1130.79
1239           Software             389.58
1566           Software             381.05
1835           Software             609.66
1838           Software             928.81
1536           Software             933.76
1237           Software             720.42
1537           Hardware            1133.26
1844           Software             495.71
1224           Hardware            1151.68
1234           Software             390.32
1578           Software            1024.92
1234           Hardware             520.32
1237           Software             686.01
1239           Hardware             856.05
1226           Hardware            1039.18
1544           Software             817.87
1575           Hardware             644.19
1548           Software             918.02
1266           Hardware             427.71
1248           Hardware             873.06
1246           Software             769.73
1829           Software             510.14
1836           Hardware             346.77
1828           Software             892.70
1869           Software            1114.88
1874           Hardware             997.64
1226           Hardware             788.18
1555           Software             348.79
1236           Software            1214.91
1258           Hardware             969.48
1825           Hardware             996.82
1566           Hardware            1025.19
1828           Software             754.81
1245           Hardware             541.15
1877           Software             391.62
1256           Software             567.65
1277           Hardware             746.56
1566           Hardware            1151.08
1568           Software             996.02
1277           Hardware             526.48
1835           Software            1200.82
1557           Hardware             851.48
1229           Software             347.99
1249           Software             907.62
1276           Software             290.22
1835           Software            1110.70
1869           Hardware             928.48
1858           Hardware            1216.28
1549           Software            1035.04
1534           Hardware            1106.06
1869           Hardware            1084.43
1565           Software            1005.02
1856           Hardware             462.49
1267           Hardware             528.28
1846           Hardware             443.22
1825           Software             922.41
1259           Software             285.40
1245           Hardware             870.27
1869           Software             847.72
1866           Hardware             254.05
1526           Hardware            1076.49
1839           Hardware            1227.52
1825           Hardware             762.68
1827           Hardware             980.29
1876           Hardware             927.11
1524           Hardware             590.98
1268           Hardware            1208.81
1874           Software             307.24
1278           Hardware             638.41
1267           Software             653.35
1835           Software            1177.21
1228           Software             731.44
1836           Hardware             375.16
1848           Hardware            1097.03
1275           Software             554.34
1828           Software             573.96
1558           Software             853.94
1564           Hardware             392.41
1845           Hardware             547.57
1235           Hardware            1029.00
1559           Hardware             996.86
1558           Hardware            1101.76
1265           Hardware             596.08
1527           Hardware             719.97
1575           Hardware            1120.83
1264           Software             661.58
1574           Hardware             807.44
1544           Hardware             731.18
1547           Hardware             597.27
1579           Software             697.46
1579           Software             864.49
1565           Software            1171.86
1567           Hardware            1033.36
1825           Software             807.44
1858           Software             457.91
1845           Software            1205.82
1576           Hardware             933.77
1825           Hardware             865.90
1265           Software            1206.17
1846           Hardware             610.55
1838           Software             880.87
1276           Hardware             813.84
1879           Software            1073.00
1855           Software             823.84
1527           Hardware            1203.51
1547           Hardware             964.83
1824           Hardware             292.40
1226           Software             479.85
1258           Hardware            1148.22
1236           Software             793.32
1249           Software             794.11
1278           Hardware             468.77
1278           Software             552.95
1855           Hardware            1238.49
1264           Hardware            1116.62
1249           Hardware             476.90
1827           Hardware            1015.30
1229           Hardware             494.66
1225           Hardware             835.59
1248           Hardware            1032.26
1555           Hardware             571.30
1858           Hardware             313.08
1857           Hardware             485.93
1578           Software            1057.70
1546           Hardware             858.57
1824           Software             798.36
1534           Hardware             981.19
1554           Hardware             911.52
1555           Software             795.11
1275           Hardware             700.28
1578           Hardware             533.61
1529           Software             937.59
1548           Software             747.50
1279           Hardware            1217.16
1524           Software            1083.57
1559           Hardware             510.91
1278           Software            1204.68
1568           Hardware             288.75
1225           Hardware            1211.58
1279           Software             586.77
1878           Software             948.12
1576           Software             395.53
1276           Hardware             567.80
1857           Software             744.35
1524           Hardware             726.61
1824           Software             854.62
1869           Hardware             790.95
1559           Software             737.80
1866           Hardware             422.48
1248           Software             614.13
1529           Hardware             928.87
1545           Software             534.88
1868           Software             731.30
1828           Hardware             555.00
1524           Software             361.47
1278           Hardware             875.07
1844           Hardware             326.18
1566           Software             283.39
1577           Hardware            1229.20
1245           Hardware             308.15
1237           Software             535.43
1226           Software             431.49
1849           Software             340.07
1835           Hardware             747.34
1234           Hardware             512.85
1256           Software             449.94
1876           Software             606.10
1556           Hardware             505.90
1545           Software             903.46
1845           Hardware             906.65
1545           Software             957.33
1235           Software             855.22
1864           Hardware            1027.69
1875           Hardware             286.15
1255           Hardware             765.30
1235           Hardware            1068.46
1526           Software             540.16
1547           Hardware             285.51
1578           Hardware             766.02
1825           Software             962.66
1866           Software             613.90
1856           Software             606.62
1824           Software             481.45
1565           Hardware             950.30
1264           Hardware             600.07
1869           Hardware             257.10
1529           Software            1141.54
1856           Software             585.47
1874           Hardware            1210.23
1576           Hardware             351.65
1254           Software            1101.62
1569           Hardware             610.44
1854           Software            1180.03
1235           Hardware             395.90
1848           Hardware             774.47
1877           Hardware             502.81
1549           Hardware             448.48
1558           Software            1097.79
1879           Hardware            1041.77
1277           Hardware             518.05
1859           Software             824.67
1844           Hardware             653.40
1265           Hardware            1180.07
1557           Hardware            1248.69
1544           Hardware            1158.99
1555           Hardware             551.32
1239           Hardware             286.30
1558           Hardware             650.86
1555           Software            1020.89
1824           Hardware             867.53
1225           Hardware            1194.74
