Base      Number         
10        19432
2         10111010010100
10        22701
2         111110111110000
2         110100111011011
10        28609
16        69ED
16        4F40
16        4E3F
2         111110000110010
16        33D6
16        2C6F
16        3B2B
2         11000010110000
10        27462
2         111011100110011
16        328A
10        25973
10        15350
16        682C
16        476C
10        20762
16        3FE3
2         10110110000101
2         101001110101000
10        14267
16        56F0
10        22620
16        75A2
10        24084
2         101110001000000
2         101010110010011
2         100000010001011
2         110101111001101
16        3FEA
10        30265
16        7169
10        18357
10        14058
16        3BE9
16        3634
16        5863
16        4F6D
16        34B4
10        29456
16        7752
10        29776
16        73FC
2         10101100011010
10        24054
2         10110111011110
2         10110001001011
16        4B05
2         10100100001110
10        13702
16        7FD9
10        15964
10        16465
16        4D78
10        29848
2         10100111110010
10        18831
2         100111011101101
2         100101000011110
2         111010100001100
10        18334
10        17374
2         110000110100010
16        5E07
16        6BD3
16        3E03
2         11110000110111
2         111011101110111
2         100101111001110
10        17427
10        22207
16        5E6D
2         100001100100100
10        21819
2         100100111001011
10        22855
10        31927
16        29E6
2         111100100010111
16        4538
16        6B38
16        6E7A
2         101111111100101
16        56C7
2         110110110000011
16        420E
16        6CEF
16        33C9
16        68CC
16        5A46
10        31542
2         11100101001000
16        35B6
10        21912
10        30387
2         110100100001000
10        31889
16        4EEF
10        25947
2         111100000100101
2         10111010000000
10        29185
10        11638
16        4CD1
16        55A7
16        4CE9
2         111110011111011
16        3967
2         101011100010010
10        19861
2         100110111010101
2         100001011100010
10        12969
10        13583
10        26691
2         10111101111001
10        27363
10        26740
10        25008
10        23888
2         100011000000111
10        14278
2         11010111110011
2         100000011011010
10        20694
10        26151
2         11101000011011
16        72CD
16        7357
2         11100101100010
2         111001110011000
16        5034
16        3174
10        11942
2         101111010010000
2         11010011011011
16        658F
16        414C
10        11820
10        21150
16        343F
16        5D84
2         110011001111000
10        20699
10        22301
16        374F
16        28BC
10        26067
16        3CF8
16        4290
10        29481
16        70AE
10        30280
10        21189
10        11047
2         11010010001111
10        23245
10        26267
10        15187
2         101101110111001
10        18827
2         111111011110011
2         111110000011110
10        28813
10        11448
2         11001100101010
10        11269
10        26135
10        10637
10        28997
2         11101010101001
2         111101000110001
16        5B75
2         111011100111001
2         111010000100010
16        7BFF
16        4C94
10        29033
2         11101111100111
16        3376
10        16691
2         101110100010100
2         110100010111011
10        14346
10        10971
16        64BD
10        22985
2         110111100010101
16        6E5C
16        4805
2         101011111110101
16        5D20
16        5181
16        3D78
10        15150
10        16202
2         101000101000111
10        11755
2         11101110001011
16        7E35
2         110001100100011
16        69D7
2         111010011110000
16        2C76
10        25101
2         101111101001111
10        10233
16        7839
2         11100011101011
10        11693
2         11000110010000
10        13762
10        31769
10        14821
10        25268
16        2F69
2         101000110111001
10        10025
10        26589
16        4048
10        19796
2         101010001100011
2         110110110011110
16        5764
16        2BB1
2         100111101110101
10        30681
10        11602
2         111011100101110
16        7F23
16        280B
10        29654
16        7013
10        27106
16        568F
10        18815
10        13904
16        334A
10        15853
2         101001001100100
16        4201
16        7315
16        4B5E
2         101100000110111
16        4050
16        65B4
2         10100001110101
16        79E1
16        751C
10        24145
2         101010001011001
2         101101111000101
16        6B63
10        31941
16        59EA
2         10101011101000
10        10864
2         10101110110001
16        3C82
2         101001010011101
10        30329
2         111110001000000
10        15947
16        3D96
10        24576
10        22362
10        25570
16        4DA2
2         111100001100100
16        69A3
16        6722
10        28745
10        13507
2         11001100000011
16        720B
16        2D68
16        443A
2         110001001101000
16        333A
2         10111110111100
16        782F
2         110101010111111
16        7722
10        27224
16        316C
10        22860
10        21346
10        27118
16        4724
16        53C1
2         101000000110111
10        28214
10        10036
2         10110010001101
2         111001000100001
10        11013
16        428D
16        711E
10        28518
16        6714
16        64B3
2         110111000000011
2         101010010111100
16        2CE5
16        3710
2         111010001110000
2         11010101100010
10        21172
10        13164
16        63C4
10        19044
16        7EDE
16        3E1D
2         101111011011110
10        30269
2         110110110111110
10        27659
16        33F7
16        37A3
16        42F9
16        7B35
16        3E6C
10        28475
2         11111100100110
2         110110000111010
16        4933
16        5E77
2         11001011000001
2         10011101011010
16        4432
2         100101110011010
10        27417
16        4276
2         101110111110000
2         110100110111110
10        18160
10        28358
16        28BD
16        2FFA
2         101101010101100
2         110101101011010
16        449A
2         11010101010011
2         111111110001111
2         101101111101110
10        19735
16        50A0
2         110011110110100
10        11061
2         101011011000100
2         11110100110111
2         100100001001100
16        6718
10        27973
10        21969
2         11011001010100
16        6BB9
2         10011110100010
16        5012
10        19304
2         111011011111010
10        26725
2         111110011011000
16        2EF7
10        22754
2         101011011110010
2         101011101001011
10        29270
10        20452
16        56E5
2         100101010001100
2         11000011010010
16        3EAA
16        38AF
10        27972
10        21733
2         101101111011110
10        18387
2         101111000101111
16        59F6
16        3B88
2         101100111010100
16        41B9
16        5A48
2         101110100100100
10        22293
10        29207
2         110101110110111
10        22189
16        2812
16        3ACA
16        6B9A
16        3640
10        27324
16        7CB1
10        14801
16        3D52
16        7691
2         10011101110110
10        25347
16        5937
10        18745
2         110110111010010
2         111001010000011
16        63BD
10        29637
2         110000010101000
10        31463
2         111101000000110
2         110000101111100
10        17648
16        4642
16        5ED3
16        2E38
16        7BB5
10        22867
16        56BE
16        7D6F
16        2760
10        17772
2         101111000010010
16        51D0
16        6B66
2         11000100000110
10        32669
10        12583
16        7690
2         110000011101101
10        14077
16        2875
16        3D42
10        32447
16        57AE
10        21716
2         10100110010110
2         101100101100100
10        11578
10        30658
16        2FCE
10        25291
2         100000010100010
16        538C
10        23752
16        2E53
16        56E8
2         111011011011101
16        6FD7
10        32444
2         100110101001101
10        22299
2         11110010111101
2         11010001011001
10        23027
2         101001100111001
10        31949
16        4429
2         101011111100100
2         101001101110111
10        15603
10        31118
10        13356
2         11110000000101
10        18899
2         111100101110111
2         111000100100110
16        75E5
16        715F
10        10724
10        20867
16        7869
16        53F5
16        2FAA
2         100010010111010
10        12397
10        19388
2         110110011010110
2         11111010000110
16        72F5
10        21672
16        51F9
2         11101000110111
2         110010110101101
2         110111001101110
16        5077
2         111101101001101
16        3397
10        25303
16        42B3
16        27A8
2         101111010101110
2         101010000110101
2         101100011111100
16        7C15
16        75D8
16        573C
2         110000000000101
2         111001010001111
10        20393
16        7C09
10        10355
2         111110000101101
16        508E
16        3B8C
10        23943
16        6978
10        25463
2         110100110110001
10        20906
10        12398
2         110110001111111
16        60B5
2         110010101001010
2         110111111010010
2         111100011011011
2         111100010110101
16        58CF
10        16701
2         101001100100110
10        27210
2         111110000110010
16        5779
2         11100010111111
2         11010111100111
2         10110101101000
16        4B24
2         100000110011000
2         110111110001111
2         11111101000011
16        28D6
10        14143
10        12875
2         100000010010001
16        58CD
16        33F3
16        5FD1
10        23964
10        14617
2         100110100110110
16        5CAD
16        3779
10        18272
16        548B
10        29080
2         100000000100100
10        13733
10        24667
16        70C4
2         110010101011001
16        35AF
2         110000001000010
10        11791
2         11010101100110
10        17691
2         111100101111001
16        6662
10        32248
10        16766
2         110111010101011
16        43F1
10        31996
16        6BB9
16        28D3
16        2EBF
10        24001
10        17623
16        565D
2         10111100110110
2         101001011111110
10        18596
10        22786
16        7C94
10        30959
16        452C
2         111010100010111
10        25837
10        29895
10        14068
10        17618
2         110101111001011
16        351F
2         11000010101110
10        25143
10        21467
2         110111110111100
2         101100100011111
10        21746
10        24375
2         110111000010010
10        19820
16        68B9
16        3764
2         111010000101011
10        22087
2         111100110000010
2         101101000011110
2         110101110000010
10        17614
2         11100110110000
16        7BE7
2         110000011000011
10        31557
16        4056
2         110111101101101
10        26092
16        4493
10        26180
2         111000100111111
2         11000110111001
10        27943
16        4EE7
10        32508
2         11100100001001
10        25398
10        24656
2         111011010010110
16        6FF3
16        4A38
16        62F7
16        4BD1
10        11241
2         101110100110111
16        4D4A
16        53FC
16        31AC
2         110011101001101
10        29597
16        4432
16        5556
16        5D37
2         110101010011110
2         101101101100111
10        20756
2         101101100110111
2         110111010001010
10        13356
10        22811
2         110000001010011
10        29202
2         111010000101001
10        25130
16        78B4
16        4E4E
2         110011010011001
10        12319
10        19557
2         110000111011010
10        12585
10        11435
2         10100000001000
2         11000010001110
10        22429
2         11111010100010
16        5F26
16        39E5
2         100101011011011
16        7436
2         110101110111011
2         110110000111111
2         10111010100011
10        24493
10        14758
2         110101100001101
10        18162
10        18182
10        32130
16        442A
2         111101110100101
2         101010000111000
10        23103
16        30A1
2         100101101000111
10        13470
2         101001100000010
16        6BAE
16        37D1
10        12890
16        7625
16        6E1E
16        2949
10        20065
16        5B21
16        5585
10        21785
16        7B82
16        4182
2         100110000010010
10        32516
10        15831
2         11000001111110
10        24470
16        5B1A
10        30215
2         11011110010000
16        6EBF
2         101111011010111
10        26032
16        6C61
2         10110010001110
16        3A00
10        22785
2         100110100010110
10        17631
2         10110100100011
16        3B56
10        20070
10        30396
16        60C6
2         101011110110011
10        24468
10        13179
10        21196
10        29380
2         100000101000101
16        5EDF
16        6FB2
10        24286
16        4B83
16        4869
16        48AD
2         100110101001001
16        3465
16        49D1
2         101100101100001
10        10999
10        23416
16        5088
2         110101001110111
16        7739
10        25583
16        3A1F
16        78FF
2         110100100110001
10        21399
2         100011011101101
16        5048
10        22199
2         110010001000110
2         11111100101111
10        17610
10        24371
10        14767
16        6B1A
2         100100010011101
16        3785
10        17159
16        328F
2         111100111100110
10        28634
16        6B71
10        19570
10        25542
10        22133
10        17500
16        271D
16        6B21
16        74CA
16        50F2
16        442D
16        3132
2         100010111001000
16        4756
10        32584
2         10110011001010
10        11671
16        2F94
16        27DA
16        3962
10        26402
16        3519
2         100011010011011
10        20989
16        60D3
2         11010101110000
2         110101001101000
16        5780
2         100010100011111
16        7008
2         110100001100100
2         100011000110001
10        10956
16        36A5
10        30131
2         10100010000101
10        26168
16        2D54
2         100110010010111
16        7913
2         11010000110100
10        30068
2         111110101101111
2         10110001000100
10        19810
16        52AF
2         101110010010011
16        5F24
2         101100111001101
16        54BC
2         11000110100110
10        30700
16        4CFB
16        6C24
2         101110010110111
16        44A1
16        748A
2         10101011100011
16        38B1
16        734D
10        14660
10        32507
16        3473
2         101100011110000
16        6FC7
10        19781
16        2FD6
16        52DA
16        307C
2         110111000011000
10        23933
16        6BF1
16        5F83
10        29840
10        32308
10        31742
16        5830
2         110100100100101
2         11110101011010
10        23844
16        3DB2
10        11248
2         101010101100001
2         11011110100010
16        4194
2         101000011101111
10        20791
16        31E7
10        22883
2         100101100000110
10        13871
2         11011011101101
2         110001101111111
16        7F83
10        11915
10        11186
2         110001000110000
2         100010010101100
16        4A41
10        15098
10        29690
2         111101010101001
2         101010111111101
16        2C74
2         11000001011010
16        52CD
2         111101000111111
2         11010111100000
10        12375
16        6DE2
10        13317
16        7EAE
10        13297
10        10463
10        11050
16        60ED
2         111111000111111
16        35CF
10        19650
16        2F00
2         10011101010101
16        6DE3
10        27183
16        4814
2         110000110000011
2         10100001010001
16        3C9F
16        42D2
16        303D
2         110010000010000
2         11000010011100
2         100001111101000
10        12991
10        30949
2         11001001000101
10        21812
2         100010000011001
2         110110110011100
2         100110001100100
10        11288
10        20958
10        17425
16        52FE
2         110100111001000
10        15944
10        26186
16        55F1
2         111100001111010
2         11000110000001
16        6D1A
16        77FD
16        511E
2         100111101001000
2         110101110001001
10        10782
16        41AC
16        29EC
16        3AE7
10        17568
16        70CE
16        6111
2         100000011001011
16        595F
16        77B7
10        11141
10        13754
16        4772
16        75FB
2         10110101010000
16        7093
16        2867
2         111111011110101
16        2DFC
2         10011111001011
10        21439
16        7656
16        5E73
10        19730
2         110110111010110
10        23525
16        4689
2         11111001010111
16        49AF
2         101010010000001
10        14167
2         111010011110010
2         10111100100101
10        28794
2         110010100111000
2         110110111110111
10        11392
2         10111100110101
16        7102
2         111101100000011
10        12338
10        11932
10        27429
16        2FF5
16        38C2
2         111011110000010
2         11000001110000
16        6036
16        4209
2         100001111110111
16        40B8
2         101010100101011
10        18610
16        4A5F
2         11110100111111
2         101000011100110
10        25577
10        16823
16        44CD
2         101010011001011
16        436D
10        20058
2         101000001101001
16        622C
16        27A1
2         110111101100111
2         101100000101001
2         111100000110101
16        3321
2         101101101010001
16        3554
16        4F23
16        2B8D
16        7D76
2         100110010011101
16        3485
10        23378
2         100001010000100
10        14586
16        4109
10        29729
2         100110101001101
10        21559
10        22123
10        17473
10        15815
10        13656
10        13207
2         10100100111001
2         110000001111100
10        26014
10        20718
10        13548
16        53DC
16        5987
2         110010000110001
10        29644
2         11001001001011
2         101001001001010
10        26945
16        3E74
10        28336
2         11010100101100
16        5D51
16        68F5
2         110001110001101
16        35B5
2         110100101000111
2         101001001100001
10        29078
16        326F
2         111000001111111
10        16529
16        6256
2         11001010100011
2         110011110100100
2         101100011010101
16        4F82
10        18555
10        26836
10        24757
10        15584
2         11000001110000
2         10110000100100
2         100011011010010
16        7A37
2         110101010101010
2         101001100001111
2         110100100010101
10        24281
2         100101000111100
16        50BF
16        346C
2         11101111010010
16        45CE
16        3AE6
10        21525
2         100001111100001
16        3349
10        16955
10        29451
16        3B96
2         110000100111110
16        413F
10        13326
16        4A71
10        22527
10        27650
2         11111111101001
10        32391
10        30821
2         101100101111110
16        498E
16        665D
2         11011110000100
10        14533
2         100100011010101
2         111110110101100
10        17115
2         101111111000001
16        67B6
2         11011100001101
10        13982
2         11111001010001
16        53E9
10        18193
16        3C80
16        2F1A
2         110001101100011
2         10100010000110
10        21042
10        15918
16        6090
10        15129
2         101011111111010
10        27050
2         10100101101010
16        7EDD
10        13700
10        18095
2         110010011010100
16        70DB
16        6DE3
2         111100101000101
10        11715
10        24991
2         101101100111101
2         111000000110110
16        639A
16        736C
10        21250
2         110001001010100
2         111011011111010
16        609A
16        66FC
10        16791
16        29EE
16        62EB
10        18293
2         10100000110101
10        23415
16        747F
16        465D
2         10101000010000
10        28683
10        22747
16        5B12
10        15464
16        5469
10        28170
2         100011100111000
2         11001111000101
2         10100000100010
16        7E63
10        10930
10        12555
16        5754
16        6531
2         111101111111111
16        72EE
2         110011011010111
10        28842
2         101101000100111
2         11001011010100
2         100010100111110
10        30314
16        7906
16        6A35
10        20043
16        61DE
10        15347
10        28014
2         101100111011001
2         10011100010001
16        7592
2         10101110111100
10        17597
16        7D94
2         101011000001000
16        6FD9
2         11011011110000
16        3848
16        5742
2         110111101011100
2         100111000011100
2         100110100100101
10        25196
16        4D6C
2         101111001100001
2         100111010101110
16        7A2C
16        3A54
2         111101100110011
10        12710
16        7044
2         101101100101100
16        32BD
10        27732
2         110001101011101
2         110111011011101
16        4E03
10        28502
2         100100000101110
10        15153
16        7C10
10        21788
10        15055
10        26898
10        13248
16        390E
2         11010001011100
16        56A4
10        23985
10        22227
10        12232
2         10101011000010
10        14156
2         11010100000100
2         110010011110001
16        374C
16        33F9
16        54A1
10        13863
10        29099
16        7062
16        7D6F
10        21602
2         101101001111010
10        18114
16        362E
10        30092
16        5F32
2         110011111111000
10        24017
16        416B
2         11000110100011
16        2DC5
10        22229
16        54CC
2         101011000010001
2         11100101000100
10        32464
16        3A7E
10        20028
16        4A91
2         11100000011110
2         100110011010001
2         101001111101101
10        20234
2         11010011110111
10        13309
10        25178
10        31499
16        54A5
10        16946
2         110000001111100
16        6F0A
2         101111001101010
10        30569
10        25017
16        2FAA
2         111100110101111
10        19781
16        4AD5
2         10100100101100
16        58BD
10        21983
10        16140
10        15966
16        3650
2         111011101110100
2         111000110000110
2         101000101110110
16        2CC7
10        21487
2         101101100100101
10        12627
2         101010101100101
2         111100010000100
10        29979
2         100111011010010
2         100101111110010
2         10101000111011
10        14198
16        72C8
16        2C57
2         111111010101110
2         101100100011101
10        18146
16        42B6
10        16242
16        48F6
10        19887
2         111100011010000
10        14869
10        16744
10        10607
2         11001010010110
10        23246
10        20918
2         111001001110011
2         101011010001111
2         101011010110100
16        2F71
2         111100010000100
2         11011001111001
2         110110000110000
16        28F5
16        45BB
2         111011000001000
10        32007
10        29044
16        490D
2         111100011101010
16        4968
2         10101001010000
16        6530
2         110101100101111
16        7312
2         101010011110100
16        797E
10        16261
10        30292
16        412D
2         100111100101111
2         10011101101000
10        12954
10        21134
10        20148
10        28600
16        7E6D
2         101011111101000
16        35AE
16        68B5
16        5854
10        26509
16        51AC
10        11185
2         110111011000010
16        6E0D
16        629D
16        6168
10        32114
10        11300
10        20516
16        61E7
10        14930
10        21928
16        4353
16        3CEC
2         101100010101110
2         100110101100110
16        7DA4
16        6A06
2         10100100111010
16        7B59
2         11101101110100
16        2B2C
16        2D74
10        13561
16        7EEB
10        12483
10        15634
16        3FEB
2         101011101110011
10        30421
2         11000001000000
16        34EB
2         11001000001011
10        19990
10        18214
2         111110100010100
2         110001011001100
10        14291
16        43EB
16        3A33
10        30337
2         101111011001011
10        22437
16        7B4E
2         101011100101110
16        3106
2         110100011010100
16        3BDA
16        7BFB
2         111111001111101
10        31467
10        30359
2         111001010111001
2         111011111110100
2         111101000110000
16        513A
16        4719
10        21250
16        76CF
2         101000011110110
10        17260
2         11001000010101
16        4442
10        28486
10        28350
16        2D73
16        39CC
2         101101010001110
16        7A0B
16        7287
2         100110001111000
10        32459
16        759E
16        6E8D
10        18990
16        5D14
2         11100011100011
10        32265
2         10101011111001
2         111001010100110
2         100010000110111
10        14636
2         111100010010001
2         110001111100101
2         100101001101100
2         100111110111001
10        23951
16        5E05
2         11111100001101
10        20484
16        4F0B
2         111100101010001
16        7010
16        5664
16        4845
16        31B1
10        21012
2         110010001100001
10        12852
16        63EE
10        10817
10        32757
10        24896
2         10101100111001
10        24549
16        3732
16        6C99
2         110111010101001
2         11001001110001
16        4FB2
2         11000101011110
10        14673
16        57EF
2         110000100100000
2         11101000100101
16        743C
16        7BB7
2         101100000110000
16        271F
10        27387
2         100110010111000
2         101001100110100
10        19689
16        4E57
16        4908
16        3BF8
16        4924
10        21478
2         11000100101011
2         10100110111001
10        29903
10        17608
2         101100100001101
2         10011101111101
10        19562
16        2D75
10        18367
2         110100110001101
10        26547
2         111000111011100
2         11010011101000
2         11010101111011
16        5C65
16        3B20
2         10110111101000
16        59AD
10        12429
2         111111110101010
16        5C07
10        11330
10        32605
2         10111011010000
16        560E
16        2F11
16        45AF
2         111000000101101
10        17610
10        17875
16        53B9
2         100100111100101
2         110000100011111
10        28932
10        15168
16        5A91
2         10111101100111
10        15179
2         11000100001101
16        68A9
16        3F96
2         101001010110110
16        3D3A
10        10369
2         11000101010111
16        65ED
2         11001110000011
10        29050
2         100011110110111
2         11100000000101
2         111001111000100
16        5E3C
10        19351
10        29092
10        21018
10        27395
2         100000100000000
10        26615
10        26512
16        742D
10        10223
10        32264
16        74E0
16        398C
16        2C40
2         111000100011011
16        7BD4
16        50DE
16        39FF
10        10704
16        3240
10        26385
2         101100111010011
2         100101010010001
10        18393
16        5F33
16        71BE
16        65B6
16        48F9
16        7CD5
2         111010100010011
16        6A46
16        69E3
2         100000011101101
10        20913
2         110101001001111
16        47D3
10        32089
2         100110001101111
2         111011101110100
10        12004
2         100100010011111
16        68EC
16        3CCC
16        6082
16        48B8
16        4099
10        27560
10        28718
16        2C32
2         101001110101011
10        27722
16        7317
2         110010011000101
2         100111111110000
16        5014
16        305D
10        32469
2         11010101001101
2         110101101100001
16        7D2A
2         101011010010111
10        11457
16        53C5
10        10978
2         101100010111000
2         111010110100011
10        25354
2         101011100101000
2         111010101110011
16        5E4D
10        12294
16        7BBB
10        13499
2         111001101101100
10        15889
2         111110001101011
2         100010001011001
2         100000101101001
16        4964
2         101110010111111
16        4A00
10        22334
10        28970
10        25804
2         100010011110010
10        13400
2         110001000110010
16        5172
10        18744
10        30691
16        5488
10        22409
10        20759
2         100100101000111
16        62A0
16        27A9
10        32171
2         110010111001000
2         100111110101100
16        76B6
10        25331
16        5C8C
10        28407
10        29053
16        7FB8
2         110010011110110
16        32F9
2         111110010000101
10        21069
16        2ADE
16        4BF7
2         10110100000111
16        55DE
2         111100001111100
2         101100010111111
16        2A74
10        17327
2         111001001100010
10        32738
16        53E6
2         11001000001011
2         111100010110001
16        57B7
16        6A59
2         110010110111010
16        416B
2         101001100011010
2         111100000110000
10        12002
10        10605
2         111110011111011
10        17454
2         101010101111100
2         10110100011110
16        54E8
16        3E5F
10        26112
16        5B10
2         111111010001000
16        6DAB
2         11111110000001
2         101001000010101
16        5C1C
10        32357
2         101010001010000
2         11100101001001
2         100001101011000
2         100000000010110
16        4428
10        27290
2         100111100101010
10        14710
2         101010000001101
16        28C7
16        5288
2         11110100001100
2         11010011110111
16        3DD1
10        14948
10        10659
2         100111100111000
2         111100110111010
16        2CF0
2         110100000001100
10        23728
2         110011111010011
10        26163
16        6984
2         10111011001010
2         111001101000011
2         111100011110011
10        23735
16        31D4
2         101101001001101
10        25227
16        318D
10        18907
2         111111101000111
2         101000101000011
2         110111111011001
2         10100110000111
10        12138
2         10011111101110
2         101110011001110
10        28944
16        2B12
2         111101110001000
10        25060
2         110101000010011
16        6721
16        2DAF
2         101111011000111
2         101110111001011
16        532E
10        24113
16        2711
2         10111101000001
10        16574
2         111010101010111
10        28481
10        31294
16        7226
2         10110001001011
10        22149
10        20259
16        3FB2
10        18429
10        15565
16        3B01
2         111001101101011
2         100100111100000
2         10101011110100
16        2FE6
10        11306
16        6212
16        66BA
16        4AE4
16        70A3
10        22369
16        6056
10        19606
16        341F
2         100001000101011
10        32182
16        32A6
10        28404
2         101001010110110
16        29BB
2         11010111000001
2         100111110110001
16        54D2
2         111110111001011
16        2BD6
10        30018
16        5484
10        26606
16        645E
2         101011101100010
16        4E1C
10        12983
10        11335
16        4979
10        19838
10        18012
2         11101001101111
2         111001101000100
10        19118
2         101100011110111
16        5539
2         11100010101011
16        758E
2         111000110110010
16        2ED5
10        32593
16        341B
16        457B
2         101011110110101
2         111101101100111
16        5745
10        26279
16        7FD1
10        31389
10        12304
10        27239
16        3CA8
16        412E
2         100100111010001
10        17631
2         11111001110011
16        449C
2         101110110100001
16        57BB
16        7B22
2         11010100110101
2         111110001101100
2         11001101001001
10        11340
